Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LHSmallToe,LHeel,RBigToe,RHSmallToe,RHeel
"[150.148, 94.6773, 0.91289]","[151.011, 121.962, 0.923543]","[130.757, 121.104, 0.857261]","[123.799, 153.688, 0.835428]","[123.725, 181.861, 0.866674]","[170.418, 121.123, 0.819023]","[172.133, 152.829, 0.833765]","[172.163, 182.728, 0.848354]","[146.658, 177.448, 0.701386]","[136.905, 177.451, 0.710579]","[141.339, 228.528, 0.785037]","[144.018, 274.298, 0.79496]","[158.946, 178.307, 0.747328]","[157.216, 228.487, 0.793816]","[156.325, 274.273, 0.75508]","[144.877, 89.4086, 0.921197]","[153.665, 88.5847, 0.864551]","[138.714, 93.8123, 0.826885]","[159.84, 92.934, 0.841617]","[152.792, 284.828, 0.630305]","[158.93, 283.97, 0.695421]","[155.426, 278.654, 0.58811]","[144.908, 284.822, 0.709138]","[139.582, 284.813, 0.679211]","[144.9, 278.663, 0.646272]"
"[150.151, 94.6926, 0.923096]","[151.012, 121.116, 0.917667]","[130.757, 120.239, 0.845566]","[123.799, 153.672, 0.832956]","[123.716, 181.846, 0.872769]","[171.251, 121.107, 0.81914]","[172.127, 152.808, 0.842452]","[172.152, 182.723, 0.84902]","[146.647, 178.303, 0.70585]","[136.088, 178.304, 0.712445]","[140.471, 228.531, 0.789878]","[144.017, 275.175, 0.797449]","[158.937, 178.321, 0.748688]","[157.202, 228.488, 0.790165]","[156.333, 274.279, 0.75505]","[144.879, 89.4337, 0.906576]","[152.834, 89.4127, 0.862717]","[138.732, 93.8285, 0.823344]","[159.833, 93.7895, 0.856839]","[152.806, 284.825, 0.613839]","[158.938, 283.967, 0.684345]","[155.429, 278.66, 0.596067]","[145.752, 284.837, 0.685552]","[139.605, 284.841, 0.663069]","[144.896, 278.69, 0.654118]"
"[150.161, 93.8122, 0.892011]","[150.99, 121.109, 0.894127]","[129.946, 121.095, 0.85052]","[124.659, 153.681, 0.800234]","[117.592, 180.965, 0.847906]","[169.517, 121.096, 0.792328]","[166.027, 145.776, 0.525502]","[165.126, 158.096, 0.566473]","[147.532, 177.44, 0.712505]","[136.938, 176.566, 0.744727]","[138.728, 222.332, 0.796229]","[138.729, 270.78, 0.746923]","[158.952, 178.321, 0.755052]","[158.045, 226.738, 0.77888]","[157.191, 272.53, 0.779681]","[144.883, 88.5627, 0.937093]","[153.673, 88.5325, 0.896254]","[138.708, 93.8001, 0.833404]","[159.872, 92.0556, 0.830345]","[151.931, 284.839, 0.693487]","[158.954, 283.962, 0.700246]","[155.446, 277.788, 0.593949]","[140.488, 285.712, 0.620678]","[135.203, 284.832, 0.591802]","[142.245, 274.282, 0.569676]"
"[150.99, 94.7171, 0.942592]","[151.023, 121.114, 0.91993]","[130.768, 121.092, 0.851793]","[124.644, 152.832, 0.816523]","[123.748, 180.996, 0.866094]","[171.265, 120.238, 0.82111]","[172.137, 151.94, 0.858041]","[172.174, 181.842, 0.862536]","[148.405, 176.554, 0.692623]","[136.947, 175.695, 0.717266]","[141.338, 228.492, 0.777858]","[144.01, 275.157, 0.791067]","[158.986, 177.444, 0.731558]","[157.219, 227.614, 0.786028]","[156.332, 273.414, 0.753185]","[144.901, 90.2972, 0.894976]","[153.687, 89.4413, 0.844111]","[138.724, 94.6602, 0.864046]","[159.836, 93.804, 0.846828]","[152.806, 284.825, 0.61704]","[158.943, 283.962, 0.683815]","[154.572, 277.828, 0.587669]","[145.76, 284.832, 0.699233]","[139.612, 284.828, 0.666097]","[144.886, 278.669, 0.646155]"
"[151.943, 93.8007, 0.897145]","[151.912, 119.331, 0.887678]","[131.695, 121.118, 0.831027]","[126.384, 144.912, 0.81187]","[117.609, 165.132, 0.892782]","[172.186, 116.735, 0.855538]","[171.294, 121.972, 0.733404]","[164.232, 126.395, 0.799916]","[151.038, 173.058, 0.821646]","[138.703, 172.183, 0.8033]","[144.893, 187.156, 0.81709]","[144.017, 234.682, 0.831681]","[163.353, 173.942, 0.72405]","[158.938, 226.749, 0.751201]","[158.047, 276.057, 0.784466]","[148.409, 88.5417, 0.894991]","[158.044, 88.5272, 0.932455]","[142.245, 93.808, 0.830832]","[165.079, 92.9321, 0.854401]","[151.945, 285.701, 0.714076]","[158.115, 285.702, 0.749213]","[157.21, 278.735, 0.600744]","[144.847, 254.026, 0.732732]","[138.735, 250.55, 0.712592]","[144.852, 235.558, 0.651413]"
"[150.164, 93.8136, 0.892593]","[151.903, 118.453, 0.90171]","[132.538, 116.71, 0.834899]","[131.695, 122.865, 0.608885]","[136.985, 131.658, 0.830505]","[172.132, 121.121, 0.855967]","[171.28, 148.402, 0.749241]","[170.403, 169.513, 0.721356]","[145.788, 172.133, 0.772913]","[136.924, 172.143, 0.76837]","[138.708, 223.253, 0.703029]","[143.98, 276.905, 0.830475]","[158.07, 172.136, 0.783243]","[151.919, 187.137, 0.599545]","[156.325, 230.289, 0.741045]","[144.89, 88.5625, 0.937106]","[153.682, 88.5384, 0.888808]","[138.723, 93.7912, 0.80976]","[160.708, 92.0545, 0.824453]","[151.939, 249.631, 0.771057]","[158.064, 247.893, 0.715549]","[155.429, 232.924, 0.539742]","[143.127, 285.752, 0.756325]","[136.986, 285.702, 0.814228]","[144.915, 279.557, 0.726938]"
"[151.027, 94.7085, 0.941309]","[151.052, 121.115, 0.919792]","[130.801, 120.218, 0.836289]","[124.644, 152.83, 0.821704]","[123.736, 181.003, 0.873495]","[171.287, 121.121, 0.835873]","[172.152, 152.797, 0.851955]","[172.175, 181.866, 0.854223]","[147.507, 177.435, 0.694651]","[136.908, 177.437, 0.703387]","[141.342, 228.518, 0.784626]","[144.005, 275.16, 0.782895]","[158.955, 177.457, 0.741485]","[157.21, 227.636, 0.781552]","[156.324, 273.416, 0.75598]","[145.753, 89.44, 0.881127]","[155.43, 89.4276, 0.846649]","[138.751, 93.8062, 0.823723]","[160.725, 93.7802, 0.817782]","[152.8, 284.82, 0.600831]","[158.935, 283.953, 0.656892]","[154.559, 277.834, 0.574625]","[145.746, 284.82, 0.683683]","[139.6, 284.812, 0.64731]","[144.882, 278.672, 0.634099]"
"[151.947, 93.7955, 0.896884]","[151.936, 119.358, 0.881315]","[132.549, 121.1, 0.818694]","[128.143, 146.646, 0.792358]","[119.36, 167.754, 0.811268]","[172.193, 117.581, 0.86216]","[168.655, 122.901, 0.657383]","[165.135, 129.942, 0.815253]","[151.043, 173.078, 0.812047]","[137.872, 172.184, 0.807464]","[144.907, 188.884, 0.817169]","[144.024, 236.445, 0.791093]","[163.373, 175.68, 0.716537]","[158.932, 226.74, 0.76012]","[158.037, 276.04, 0.773404]","[149.257, 88.5341, 0.900632]","[158.051, 88.5276, 0.940816]","[142.246, 93.8159, 0.836665]","[165.079, 93.7828, 0.859336]","[151.955, 285.721, 0.699526]","[158.934, 285.715, 0.739991]","[157.183, 278.717, 0.609266]","[143.989, 256.654, 0.570522]","[138.735, 253.164, 0.540172]","[144.003, 237.342, 0.571095]"
"[150.991, 94.6884, 0.926334]","[151.029, 121.106, 0.917009]","[130.776, 120.242, 0.84384]","[125.516, 153.687, 0.792777]","[123.76, 181.84, 0.858257]","[171.271, 120.226, 0.825377]","[172.149, 151.944, 0.864307]","[172.195, 181.86, 0.863162]","[148.399, 177.444, 0.699138]","[136.945, 177.449, 0.727589]","[141.369, 228.52, 0.794453]","[144.02, 276.034, 0.805786]","[158.982, 178.31, 0.740555]","[158.042, 228.479, 0.816947]","[157.167, 273.409, 0.766854]","[144.902, 89.425, 0.903437]","[153.702, 89.4004, 0.854409]","[138.725, 93.8231, 0.836022]","[159.871, 92.9307, 0.82845]","[152.828, 284.829, 0.634023]","[158.957, 283.958, 0.693948]","[155.426, 277.826, 0.601012]","[145.753, 284.826, 0.698398]","[139.604, 284.82, 0.665031]","[144.903, 278.697, 0.655936]"
"[151.881, 94.7173, 0.945754]","[151.888, 121.118, 0.914297]","[131.66, 120.22, 0.824327]","[126.374, 152.807, 0.806658]","[123.769, 180.959, 0.872928]","[172.14, 121.951, 0.851488]","[172.179, 153.666, 0.83992]","[172.197, 182.743, 0.854004]","[148.398, 178.304, 0.700874]","[136.948, 178.31, 0.729326]","[141.361, 228.541, 0.793593]","[144.014, 276.027, 0.797855]","[158.98, 178.331, 0.742026]","[158.064, 228.502, 0.820918]","[156.335, 273.409, 0.767502]","[146.639, 89.4495, 0.856652]","[157.165, 89.4417, 0.864174]","[140.488, 93.8238, 0.814495]","[162.47, 93.8108, 0.817924]","[152.817, 283.984, 0.591736]","[158.949, 283.095, 0.645263]","[154.566, 277.825, 0.573517]","[145.776, 284.812, 0.664214]","[140.476, 284.812, 0.631432]","[144.881, 278.686, 0.645716]"
"[150.151, 94.6745, 0.9138]","[151.005, 121.95, 0.912284]","[129.94, 121.122, 0.858772]","[124.63, 155.428, 0.820342]","[123.732, 182.737, 0.865743]","[171.252, 120.236, 0.814064]","[172.121, 151.952, 0.855148]","[172.169, 181.85, 0.865777]","[147.533, 177.454, 0.695069]","[136.916, 178.311, 0.718533]","[141.341, 228.522, 0.791784]","[144.009, 274.298, 0.796301]","[158.977, 178.305, 0.737685]","[158.033, 228.473, 0.799701]","[156.328, 274.272, 0.756333]","[144.879, 89.4016, 0.924603]","[153.668, 88.5847, 0.870871]","[137.881, 93.7856, 0.833773]","[159.841, 93.7844, 0.851039]","[151.958, 284.831, 0.62469]","[158.115, 283.974, 0.688471]","[155.424, 277.84, 0.600117]","[144.905, 284.829, 0.717048]","[139.583, 284.814, 0.680184]","[144.891, 278.661, 0.653994]"
"[150.138, 94.6896, 0.919602]","[150.999, 121.102, 0.908204]","[129.94, 121.097, 0.855287]","[124.611, 153.681, 0.832]","[123.736, 181.865, 0.864441]","[170.408, 120.211, 0.811841]","[172.121, 151.952, 0.855015]","[172.159, 181.845, 0.86327]","[147.512, 176.556, 0.693407]","[136.91, 176.557, 0.703986]","[140.483, 228.492, 0.778514]","[144.014, 274.299, 0.795083]","[158.958, 177.432, 0.739748]","[158.027, 227.612, 0.787093]","[156.325, 273.401, 0.75709]","[144.867, 89.4317, 0.920593]","[152.812, 89.4094, 0.873765]","[137.887, 93.816, 0.850979]","[159.004, 92.9368, 0.859401]","[152.807, 284.826, 0.623095]","[158.945, 283.957, 0.686594]","[154.567, 277.82, 0.586868]","[145.752, 284.834, 0.717632]","[139.603, 284.825, 0.683288]","[144.893, 278.661, 0.653298]"
"[150.16, 94.6721, 0.915598]","[151.012, 121.12, 0.914423]","[130.757, 121.105, 0.856296]","[124.654, 153.69, 0.806297]","[123.752, 181.849, 0.856876]","[170.419, 120.226, 0.814723]","[172.131, 151.918, 0.860303]","[172.157, 180.992, 0.870753]","[148.401, 175.687, 0.693862]","[136.948, 175.692, 0.722025]","[141.343, 228.496, 0.784457]","[144.006, 275.171, 0.793219]","[158.982, 176.57, 0.727424]","[158.041, 228.472, 0.802374]","[156.33, 273.422, 0.758947]","[144.887, 89.3993, 0.922635]","[153.681, 88.5811, 0.869819]","[138.7, 93.7968, 0.834639]","[159.841, 93.7834, 0.848182]","[152.798, 284.824, 0.634428]","[158.938, 283.959, 0.691385]","[154.572, 277.834, 0.594843]","[145.744, 284.831, 0.687765]","[139.598, 284.825, 0.654067]","[144.885, 278.679, 0.654951]"
"[150.141, 94.6887, 0.917202]","[151, 121.952, 0.909397]","[129.939, 121.953, 0.858123]","[124.62, 155.435, 0.829283]","[123.745, 182.745, 0.864845]","[170.41, 120.234, 0.812945]","[172.12, 151.946, 0.848296]","[172.166, 181.871, 0.855185]","[147.52, 177.458, 0.70059]","[136.919, 178.31, 0.724065]","[141.345, 228.527, 0.786559]","[144.014, 275.176, 0.799319]","[158.961, 178.315, 0.748572]","[157.216, 228.479, 0.804273]","[156.332, 273.41, 0.76263]","[144.868, 89.435, 0.914884]","[152.82, 89.409, 0.866854]","[138.706, 94.6443, 0.8482]","[159.827, 92.9388, 0.852471]","[152.828, 284.829, 0.629502]","[158.959, 283.955, 0.689915]","[154.571, 277.828, 0.592212]","[145.753, 284.827, 0.687793]","[139.6, 284.821, 0.657858]","[144.891, 278.686, 0.661741]"
