鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[1161.3387451171875, 547.9606323242188]","[1161.3387451171875, 524.7810668945312]","[1149.7489013671875, 524.7810668945312]","[1404.7236328125, 918.8329467773438]","[1103.389892578125, 507.3964538574219]","[987.4923706054688, 582.7299194335938]","[987.4923706054688, 571.14013671875]","[1086.0052490234375, 663.8582153320312]","[1062.82568359375, 594.3196411132812]","[1068.62060546875, 559.5503540039062]","[1080.21044921875, 518.9862060546875]","[1068.62060546875, 802.9353637695312]","[1045.441162109375, 884.0636596679688]","[1248.261962890625, 692.8326416015625]","[1259.8516845703125, 727.6019287109375]","[1393.1339111328125, 889.8585815429688]","[1404.7236328125, 907.2432250976562]"
"[1160.85888671875, 547.3721313476562]","[1155.0469970703125, 541.5602416992188]","[1149.235107421875, 524.1246948242188]","[1032.9981689453125, 524.1246948242188]","[1102.7403564453125, 506.6891784667969]","[992.3153076171875, 582.2432250976562]","[986.5034790039062, 570.6194458007812]","[1079.492919921875, 669.4209594726562]","[1062.057373046875, 593.8668823242188]","[1067.8692626953125, 558.9957885742188]","[1079.492919921875, 518.3128051757812]","[1067.8692626953125, 797.2815551757812]","[1044.621826171875, 884.4592895507812]","[1248.03662109375, 692.6682739257812]","[1259.6602783203125, 727.5393676757812]","[1393.332763671875, 890.2711791992188]","[1404.95654296875, 907.7067260742188]"
"[1161.0501708984375, 547.5830688476562]","[1161.0501708984375, 524.4403686523438]","[1149.478759765625, 524.4403686523438]","[1016.4083862304688, 501.2976379394531]","[1097.40771484375, 512.8690185546875]","[999.0513305664062, 582.297119140625]","[987.47998046875, 570.7257690429688]","[1080.0506591796875, 669.0822143554688]","[1062.6937255859375, 593.8684692382812]","[1068.4793701171875, 553.3687133789062]","[1080.0506591796875, 518.6547241210938]","[1068.4793701171875, 796.3671264648438]","[1045.336669921875, 883.1521606445312]","[1247.8353271484375, 692.2249145507812]","[1259.4066162109375, 726.9390258789062]","[1392.4771728515625, 888.9379272460938]","[1409.834228515625, 912.0806274414062]"
"[1155.205810546875, 548.0551147460938]","[1160.9874267578125, 524.9286499023438]","[1149.4241943359375, 524.9286499023438]","[1033.7918701171875, 542.2734985351562]","[1091.6080322265625, 513.3654174804688]","[987.5390014648438, 582.7447509765625]","[987.5390014648438, 571.1815185546875]","[1080.0447998046875, 669.468994140625]","[1062.699951171875, 588.5263671875]","[1068.4815673828125, 553.8367309570312]","[1068.4815673828125, 519.1470336914062]","[1068.4815673828125, 802.4461059570312]","[1045.3551025390625, 883.3887329101562]","[1247.711669921875, 692.5953979492188]","[1259.27490234375, 727.2850952148438]","[1392.251953125, 889.1703491210938]","[1409.5968017578125, 912.2968139648438]"
"[1155.053466796875, 548.0370483398438]","[1160.8330078125, 524.9191284179688]","[1149.2740478515625, 524.9191284179688]","[1033.6845703125, 542.257568359375]","[1091.479248046875, 513.3601684570312]","[987.4487915039062, 582.7139282226562]","[987.4487915039062, 571.1549682617188]","[1079.9202880859375, 669.4060668945312]","[1062.5819091796875, 588.4933471679688]","[1068.3614501953125, 553.8165283203125]","[1068.3614501953125, 519.1397094726562]","[1068.3614501953125, 802.3339233398438]","[1045.2435302734375, 883.24658203125]","[1247.525146484375, 692.5238647460938]","[1259.083984375, 727.2007446289062]","[1392.011962890625, 889.0260620117188]","[1409.350341796875, 912.1439208984375]"
"[1155.124755859375, 548.2748413085938]","[1160.888916015625, 525.218017578125]","[1149.360595703125, 519.4537963867188]","[1034.0762939453125, 542.5106811523438]","[1091.7183837890625, 507.9253845214844]","[982.198486328125, 582.8601684570312]","[982.198486328125, 577.0958862304688]","[1080.18994140625, 669.3233032226562]","[1062.8973388671875, 588.6243286132812]","[1051.368896484375, 559.8032836914062]","[1062.8973388671875, 519.4537963867188]","[1068.66162109375, 796.1358642578125]","[1045.604736328125, 882.5990600585938]","[1247.35205078125, 692.380126953125]","[1258.8804931640625, 726.9653930664062]","[1391.457275390625, 888.36328125]","[1408.75, 911.4201049804688]"
"[1155.6151123046875, 548.7786865234375]","[1155.6151123046875, 525.7499389648438]","[1144.1007080078125, 519.9927368164062]","[1034.714111328125, 543.021484375]","[1086.52880859375, 508.47833251953125]","[982.8994750976562, 583.3218383789062]","[982.8994750976562, 577.5646362304688]","[1075.014404296875, 675.4368896484375]","[1063.5, 589.0790405273438]","[1011.6853637695312, 548.7786865234375]","[1063.5, 519.9927368164062]","[1069.25732421875, 796.337890625]","[1046.228515625, 882.69580078125]","[1247.730224609375, 692.7084350585938]","[1259.24462890625, 727.2515869140625]","[1391.659912109375, 888.4529418945312]","[1408.9315185546875, 911.481689453125]"
"[1155.8782958984375, 548.1961669921875]","[1155.8782958984375, 525.3300170898438]","[1144.4453125, 519.613525390625]","[1407.4053955078125, 914.0537719726562]","[1081.5634765625, 508.18048095703125]","[978.6660766601562, 582.4953002929688]","[984.382568359375, 576.7787475585938]","[1070.13037109375, 668.2432250976562]","[1058.6973876953125, 588.2118530273438]","[1001.5321655273438, 548.1961669921875]","[1064.413818359375, 519.613525390625]","[1070.13037109375, 799.7232055664062]","[1047.2642822265625, 885.4711303710938]","[1247.3427734375, 691.1093139648438]","[1264.4923095703125, 725.4083862304688]","[1395.972412109375, 891.1876831054688]","[1407.4053955078125, 914.0537719726562]"
"[1155.603515625, 547.9227905273438]","[1155.603515625, 525.0249633789062]","[1144.1546630859375, 519.300537109375]","[1407.479248046875, 914.2875366210938]","[1081.1856689453125, 507.85162353515625]","[978.1456909179688, 582.2694702148438]","[983.8701171875, 576.5449829101562]","[1069.73681640625, 668.1361694335938]","[1058.287841796875, 587.993896484375]","[1069.73681640625, 553.647216796875]","[1064.0123291015625, 519.300537109375]","[1069.73681640625, 799.7985229492188]","[1046.8389892578125, 885.6652221679688]","[1247.1947021484375, 691.0339965820312]","[1264.3680419921875, 725.3806762695312]","[1396.0303955078125, 891.3897094726562]","[1407.479248046875, 914.2875366210938]"
"[1148.796142578125, 547.5377807617188]","[1154.54736328125, 524.5330200195312]","[1143.044921875, 518.7817993164062]","[1407.600341796875, 915.61474609375]","[1079.78173828125, 507.27935791015625]","[976.2601928710938, 582.0449829101562]","[982.0113525390625, 576.2937622070312]","[1074.030517578125, 674.0642700195312]","[1056.7769775390625, 587.7962036132812]","[1005.0161743164062, 553.2890014648438]","[1062.5281982421875, 518.7817993164062]","[1068.279296875, 794.8395385742188]","[1045.2745361328125, 886.8587646484375]","[1246.566650390625, 691.3178100585938]","[1263.8201904296875, 725.8250122070312]","[1390.3466796875, 886.8587646484375]","[1407.600341796875, 909.863525390625]"
