鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[1070.625732421875, 527.7974243164062]","[1070.625732421875, 509.94183349609375]","[1052.7701416015625, 509.94183349609375]","[1392.026611328125, 902.76513671875]","[999.203369140625, 503.9899597167969]","[981.3477172851562, 599.2198486328125]","[909.9253540039062, 605.1716918945312]","[951.5884399414062, 563.5086059570312]","[969.4440307617188, 581.3642578125]","[1017.0590209960938, 521.8455810546875]","[987.2996215820312, 503.9899597167969]","[1070.625732421875, 795.6315307617188]","[1046.8182373046875, 884.9095458984375]","[1243.22998046875, 688.4978637695312]","[1255.1336669921875, 724.2091064453125]","[1397.978515625, 896.8132934570312]","[1403.930419921875, 920.6207885742188]"
"[1070.349853515625, 527.4243774414062]","[1070.349853515625, 509.55999755859375]","[1052.485595703125, 509.55999755859375]","[1391.9088134765625, 902.576416015625]","[998.8924560546875, 503.6051940917969]","[981.0280151367188, 598.8818969726562]","[909.570556640625, 604.8367309570312]","[963.1636352539062, 586.9723510742188]","[963.1636352539062, 586.9723510742188]","[1016.7568359375, 521.4695434570312]","[986.9828491210938, 509.55999755859375]","[1064.3951416015625, 801.3449096679688]","[1046.53076171875, 884.7120361328125]","[1243.0389404296875, 688.2037963867188]","[1254.948486328125, 723.9325561523438]","[1391.9088134765625, 902.576416015625]","[1403.818359375, 920.4407958984375]"
"[1064.970947265625, 532.3050537109375]","[1064.970947265625, 508.2053527832031]","[1046.8961181640625, 508.2053527832031]","[1390.31640625, 905.8499755859375]","[992.6719360351562, 508.2053527832031]","[980.6221313476562, 604.6040649414062]","[902.2981567382812, 610.6289672851562]","[956.5223999023438, 586.5293579101562]","[956.5223999023438, 592.5542602539062]","[968.572265625, 538.3299560546875]","[986.6470336914062, 502.1804504394531]","[1070.995849609375, 797.4014282226562]","[1046.8961181640625, 881.7503662109375]","[1245.718505859375, 688.9529418945312]","[1251.743408203125, 725.1024169921875]","[1396.3414306640625, 899.8250732421875]","[1402.3663330078125, 917.8997802734375]"
"[1053.1005859375, 530.6509399414062]","[1046.8125, 505.4981384277344]","[1034.236083984375, 511.78631591796875]","[1392.663818359375, 914.2315063476562]","[977.6422729492188, 505.4981384277344]","[971.3540649414062, 606.1094360351562]","[889.6073608398438, 612.3976440429688]","[952.4893798828125, 593.5330200195312]","[946.201171875, 587.2448120117188]","[958.777587890625, 530.6509399414062]","[965.0658569335938, 499.2099304199219]","[1071.9652099609375, 801.0438232421875]","[1046.8125, 882.79052734375]","[1241.746826171875, 687.8561401367188]","[1254.3232421875, 725.5853881835938]","[1398.951904296875, 889.0786743164062]","[1411.5283203125, 920.519775390625]"
"[1053.59716796875, 530.78515625]","[1047.3089599609375, 505.6327819824219]","[1034.7327880859375, 511.92083740234375]","[1393.1541748046875, 914.3589477539062]","[978.1400756835938, 505.6327819824219]","[971.8519897460938, 606.2422485351562]","[890.1067504882812, 612.5303955078125]","[952.9876098632812, 593.6660766601562]","[946.6995239257812, 587.3779907226562]","[965.5638427734375, 530.78515625]","[965.5638427734375, 499.3446960449219]","[1072.46142578125, 801.1731567382812]","[1047.3089599609375, 882.9183959960938]","[1242.239990234375, 687.9874877929688]","[1254.816162109375, 725.7161254882812]","[1399.4422607421875, 889.2064819335938]","[1412.0184326171875, 920.6470336914062]"
"[1043.31396484375, 531.1791381835938]","[1043.31396484375, 505.939697265625]","[1024.384521484375, 512.2495727539062]","[1005.4549560546875, 524.8693237304688]","[973.9057006835938, 505.939697265625]","[961.2859497070312, 606.8973999023438]","[885.5676879882812, 619.5171508789062]","[929.7366333007812, 587.9678344726562]","[936.0465087890625, 587.9678344726562]","[948.6661987304688, 524.8693237304688]","[948.6661987304688, 505.939697265625]","[1068.553466796875, 802.5029907226562]","[1043.31396484375, 884.5310668945312]","[1245.2294921875, 682.61572265625]","[1251.539306640625, 726.7847290039062]","[1402.975830078125, 897.1508178710938]","[1409.28564453125, 922.3901977539062]"
"[1035.277099609375, 532.626708984375]","[1035.277099609375, 513.7445678710938]","[1016.3949584960938, 513.7445678710938]","[1387.7432861328125, 885.0928955078125]","[966.0426635742188, 513.7445678710938]","[877.9260864257812, 608.1551513671875]","[890.5142211914062, 620.7432250976562]","[934.5724487304688, 589.2730102539062]","[928.2784423828125, 582.97900390625]","[966.0426635742188, 513.7445678710938]","[934.5724487304688, 513.7445678710938]","[1066.747314453125, 796.9763793945312]","[1041.571044921875, 885.0928955078125]","[1249.2744140625, 683.6836547851562]","[1255.5684814453125, 721.4478759765625]","[1394.037353515625, 891.386962890625]","[1406.62548828125, 916.5631103515625]"
"[1024.32080078125, 530.4771728515625]","[1024.32080078125, 517.818359375]","[1011.6619873046875, 511.48895263671875]","[1404.0849609375, 916.5708618164062]","[961.0267333984375, 511.48895263671875]","[872.4150390625, 606.4299926757812]","[885.0738525390625, 619.0888061523438]","[980.0149536132812, 517.818359375]","[916.7208862304688, 593.7711791992188]","[961.0267333984375, 498.83013916015625]","[923.05029296875, 517.818359375]","[1062.297119140625, 796.3121948242188]","[1043.3089599609375, 884.9237670898438]","[1245.849853515625, 682.3828735351562]","[1252.17919921875, 720.3593139648438]","[1397.755615234375, 891.2532348632812]","[1404.0849609375, 916.5708618164062]"
"[1024.4322509765625, 530.4716796875]","[1024.4322509765625, 517.7940063476562]","[1011.7546997070312, 511.4552307128906]","[1404.761474609375, 917.1397094726562]","[961.0441284179688, 511.4552307128906]","[872.3006591796875, 606.5375366210938]","[884.978271484375, 619.2151489257812]","[980.0606079101562, 517.7940063476562]","[923.0111694335938, 593.85986328125]","[961.0441284179688, 498.777587890625]","[923.0111694335938, 517.7940063476562]","[1062.4652099609375, 796.7020874023438]","[1043.44873046875, 885.4456176757812]","[1246.291015625, 682.6033325195312]","[1252.6297607421875, 720.63623046875]","[1398.422607421875, 891.7844848632812]","[1404.761474609375, 910.8008422851562]"
"[1019.1371459960938, 531.4784545898438]","[1012.8334350585938, 512.5673217773438]","[1000.2260131835938, 512.5673217773438]","[1403.66357421875, 916.0049438476562]","[949.7962646484375, 512.5673217773438]","[886.7590942382812, 600.8192749023438]","[874.1517333984375, 626.0341796875]","[975.0111083984375, 525.1747436523438]","[911.9739990234375, 594.5155639648438]","[943.4925537109375, 525.1747436523438]","[911.9739990234375, 512.5673217773438]","[1063.2630615234375, 796.2344360351562]","[1038.0482177734375, 884.4863891601562]","[1246.0706787109375, 682.767578125]","[1252.3743896484375, 720.5897827148438]","[1397.35986328125, 890.7901000976562]","[1403.66357421875, 916.0049438476562]"
"[1002.7160034179688, 536.5570678710938]","[880.4981079101562, 523.6920776367188]","[983.41845703125, 510.8269958496094]","[1401.532470703125, 916.075927734375]","[931.958251953125, 517.259521484375]","[931.958251953125, 613.7473754882812]","[854.7680053710938, 639.4774780273438]","[970.5534057617188, 536.5570678710938]","[893.3631591796875, 600.88232421875]","[957.6883544921875, 517.259521484375]","[893.3631591796875, 510.8269958496094]","[1060.608642578125, 800.2904663085938]","[1041.3111572265625, 877.4808349609375]","[1247.15185546875, 684.5050659179688]","[1253.584228515625, 723.1002807617188]","[1395.099853515625, 890.3458251953125]","[1407.96484375, 916.075927734375]"
"[1002.4049682617188, 536.3108520507812]","[880.10009765625, 523.4367065429688]","[983.0936889648438, 510.5625]","[1401.505126953125, 916.0997924804688]","[931.5968627929688, 516.9995727539062]","[938.0339965820312, 607.1189575195312]","[854.3516845703125, 639.3045043945312]","[970.2195434570312, 536.3108520507812]","[892.9743041992188, 600.6818237304688]","[957.3452758789062, 516.9995727539062]","[892.9743041992188, 510.5625]","[1060.3388671875, 800.2318725585938]","[1041.027587890625, 877.4771118164062]","[1247.0146484375, 684.3641357421875]","[1253.4517822265625, 716.5496215820312]","[1395.06787109375, 890.3512573242188]","[1407.942138671875, 916.0997924804688]"
"[991.8163452148438, 535.4284057617188]","[991.8163452148438, 509.37322998046875]","[972.2749633789062, 515.8870239257812]","[1402.1856689453125, 919.7425537109375]","[907.136962890625, 522.4008178710938]","[926.6784057617188, 607.0802001953125]","[848.5127563476562, 646.1630249023438]","[965.7611694335938, 528.9146118164062]","[887.5955810546875, 600.5663452148438]","[926.6784057617188, 535.4284057617188]","[887.5955810546875, 515.8870239257812]","[1063.4681396484375, 795.9804077148438]","[1043.9267578125, 880.6597900390625]","[1245.8544921875, 685.2457885742188]","[1252.3682861328125, 724.3285522460938]","[1395.671875, 893.6873779296875]","[1408.699462890625, 913.228759765625]"
"[987.0533447265625, 532.3424682617188]","[980.4446411132812, 505.90765380859375]","[960.6184692382812, 519.1250610351562]","[868.0965576171875, 538.9512329101562]","[901.1400756835938, 519.1250610351562]","[920.9662475585938, 611.6470336914062]","[841.6616821289062, 651.2992553710938]","[954.0098266601562, 525.7338256835938]","[874.7052612304688, 605.038330078125]","[907.7488403320312, 538.9512329101562]","[881.31396484375, 519.1250610351562]","[1059.7491455078125, 803.2996215820312]","[1039.9229736328125, 882.6041259765625]","[1244.79296875, 684.3428344726562]","[1251.401611328125, 717.3863525390625]","[1390.1845703125, 889.2128295898438]","[1403.402099609375, 915.647705078125]"
"[976.9989624023438, 538.2099609375]","[970.2964477539062, 518.1024780273438]","[950.18896484375, 518.1024780273438]","[856.3540649414062, 538.2099609375]","[903.2715454101562, 524.8049926757812]","[916.676513671875, 625.3423461914062]","[829.5441284179688, 652.15234375]","[936.7839965820312, 558.3174438476562]","[869.7590942382812, 611.9374389648438]","[909.9740600585938, 524.8049926757812]","[876.4615478515625, 511.3999938964844]","[1064.13134765625, 799.6071166992188]","[1044.0238037109375, 873.3345336914062]","[1245.0986328125, 685.664794921875]","[1251.801025390625, 719.1771850585938]","[1385.850830078125, 880.0370483398438]","[1405.9583740234375, 913.5494995117188]"
"[977.7938842773438, 538.550537109375]","[971.1060180664062, 518.4867553710938]","[951.0421752929688, 518.4867553710938]","[857.4110107421875, 538.550537109375]","[904.2266235351562, 525.1746215820312]","[917.6024780273438, 625.4937133789062]","[830.6593017578125, 652.2454833984375]","[937.6663208007812, 558.6143188476562]","[870.7869262695312, 612.1178588867188]","[910.9144897460938, 525.1746215820312]","[877.474853515625, 511.79876708984375]","[1058.049072265625, 799.380126953125]","[1044.6732177734375, 879.6353759765625]","[1245.3114013671875, 685.6851806640625]","[1251.999267578125, 725.8128051757812]","[1385.758056640625, 879.6353759765625]","[1405.8218994140625, 913.0750732421875]"
"[965.8739013671875, 544.5916137695312]","[959.0855102539062, 517.4380493164062]","[945.5086669921875, 524.2264404296875]","[850.4710083007812, 537.8032836914062]","[891.2014770507812, 531.0148315429688]","[911.566650390625, 626.052490234375]","[823.3173828125, 653.2061157226562]","[925.1434936523438, 578.5336303710938]","[864.0477905273438, 619.2640991210938]","[897.9898071289062, 524.2264404296875]","[864.0477905273438, 517.4380493164062]","[1060.9114990234375, 802.5509643554688]","[1040.5462646484375, 877.2234497070312]","[1244.1983642578125, 687.1481323242188]","[1244.1983642578125, 721.0901489257812]","[1386.7548828125, 884.0117797851562]","[1413.908447265625, 917.9537963867188]"
"[961.9095458984375, 540.3616333007812]","[955.0007934570312, 526.5441284179688]","[934.2744750976562, 526.5441284179688]","[844.4605712890625, 540.3616333007812]","[885.9131469726562, 533.4528198242188]","[899.7306518554688, 637.0842895507812]","[816.8255004882812, 664.7194213867188]","[913.5482177734375, 581.814208984375]","[858.278076171875, 616.3580932617188]","[892.8218994140625, 526.5441284179688]","[851.3693237304688, 526.5441284179688]","[1058.6322021484375, 802.8946533203125]","[1037.9058837890625, 878.8910522460938]","[1238.260009765625, 685.4456787109375]","[1245.1688232421875, 719.989501953125]","[1397.16162109375, 892.7086181640625]","[1410.9791259765625, 920.3436279296875]"
"[961.7936401367188, 540.0801391601562]","[954.8910522460938, 526.2750854492188]","[934.1835327148438, 526.2750854492188]","[844.4505615234375, 540.0801391601562]","[885.8657836914062, 533.1776733398438]","[899.6708374023438, 636.7156372070312]","[816.8403930664062, 664.3257446289062]","[913.4758911132812, 581.495361328125]","[858.255615234375, 616.008056640625]","[892.768310546875, 526.2750854492188]","[851.3530883789062, 526.2750854492188]","[1058.4290771484375, 802.3765258789062]","[1037.721435546875, 878.3043823242188]","[1237.8948974609375, 685.0333862304688]","[1244.7974853515625, 726.4485473632812]","[1396.6531982421875, 892.1094360351562]","[1410.458251953125, 919.7195434570312]"
"[939.7535400390625, 548.0210571289062]","[932.61279296875, 526.5988159179688]","[918.3312377929688, 533.7395629882812]","[1396.762451171875, 905.0592041015625]","[868.3458862304688, 548.0210571289062]","[896.908935546875, 633.7102661132812]","[811.2197875976562, 669.4141235351562]","[911.1904907226562, 583.7249145507812]","[846.923583984375, 626.5695190429688]","[875.4866333007812, 533.7395629882812]","[825.5012817382812, 540.8803100585938]","[1061.146484375, 797.9478149414062]","[1032.5833740234375, 876.4962768554688]","[1239.66552734375, 683.6956176757812]","[1246.806396484375, 719.3993530273438]","[1396.762451171875, 905.0592041015625]","[1411.0439453125, 926.4815673828125]"
"[929.7537231445312, 546.5199584960938]","[922.5735473632812, 532.1596069335938]","[908.2131958007812, 532.1596069335938]","[1396.46484375, 905.5285034179688]","[850.7718505859375, 553.7001342773438]","[893.8528442382812, 632.6820068359375]","[807.6908569335938, 675.7630004882812]","[908.2131958007812, 589.6010131835938]","[829.2313842773438, 639.8621826171875]","[872.3123779296875, 539.3397827148438]","[814.8710327148438, 546.5199584960938]","[1058.996826171875, 805.0061645507812]","[1030.276123046875, 876.807861328125]","[1238.5009765625, 682.9431762695312]","[1245.68115234375, 718.8440551757812]","[1396.46484375, 905.5285034179688]","[1410.8251953125, 927.0690307617188]"
"[922.267333984375, 553.8848266601562]","[907.4898071289062, 531.7186279296875]","[900.1011352539062, 539.1073608398438]","[811.4360961914062, 561.2735595703125]","[848.3798828125, 553.8848266601562]","[885.3236083984375, 635.1610717773438]","[804.0474243164062, 686.8822631835938]","[900.1011352539062, 583.4398193359375]","[826.213623046875, 635.1610717773438]","[855.7686157226562, 546.49609375]","[804.0474243164062, 546.49609375]","[1055.2646484375, 805.1021728515625]","[1033.0985107421875, 878.9896850585938]","[1239.9833984375, 686.8822631835938]","[1239.9833984375, 723.8259887695312]","[1395.14697265625, 908.544677734375]","[1409.924560546875, 923.3221435546875]"
"[921.9373168945312, 553.7610473632812]","[907.1360473632812, 531.5591430664062]","[899.7354125976562, 538.9597778320312]","[810.9278564453125, 561.1616821289062]","[847.9310302734375, 553.7610473632812]","[884.9341430664062, 642.5685424804688]","[803.5272827148438, 686.9723510742188]","[899.7354125976562, 583.363525390625]","[825.7291259765625, 635.1679077148438]","[855.3316040039062, 546.3604125976562]","[803.5272827148438, 546.3604125976562]","[1055.1484375, 805.3822631835938]","[1032.9466552734375, 879.3886108398438]","[1240.1641845703125, 686.9723510742188]","[1247.5648193359375, 723.9754028320312]","[1395.577392578125, 908.9911499023438]","[1410.3785400390625, 923.7924194335938]"
"[914.7870483398438, 560.6172485351562]","[899.7027587890625, 530.4486694335938]","[884.618408203125, 545.532958984375]","[801.6546020507812, 568.1594848632812]","[831.8232421875, 560.6172485351562]","[877.0762329101562, 643.5811157226562]","[794.1124267578125, 688.8340454101562]","[892.1605834960938, 575.7015991210938]","[816.7389526367188, 636.0388793945312]","[854.4497680664062, 545.532958984375]","[801.6546020507812, 560.6172485351562]","[1058.088134765625, 809.5087280273438]","[1027.91943359375, 877.3882446289062]","[1239.10009765625, 688.8340454101562]","[1239.10009765625, 719.0027465820312]","[1397.4854736328125, 907.556884765625]","[1412.56982421875, 915.0989990234375]"
"[900.3219604492188, 555.5864868164062]","[892.6085815429688, 540.1597900390625]","[877.1819458007812, 547.8731079101562]","[792.3350830078125, 571.0132446289062]","[823.1884765625, 563.2998657226562]","[869.4685668945312, 648.1466674804688]","[792.3350830078125, 686.7134399414062]","[877.1819458007812, 609.5798950195312]","[807.7617797851562, 648.1466674804688]","[854.0418701171875, 540.1597900390625]","[792.3350830078125, 563.2998657226562]","[1054.5888671875, 810.1270141601562]","[1031.4488525390625, 879.5470581054688]","[1239.709228515625, 686.7134399414062]","[1239.709228515625, 717.5667114257812]","[1409.40283203125, 902.6870727539062]","[1409.40283203125, 918.1138305664062]"
"[899.8338012695312, 555.7393798828125]","[892.1078491210938, 540.2874145507812]","[876.6558227539062, 548.0133666992188]","[791.6700439453125, 571.1913452148438]","[822.573974609375, 563.4653930664062]","[868.9298706054688, 648.4512329101562]","[791.6700439453125, 687.0811157226562]","[884.3818359375, 602.0952758789062]","[807.1220092773438, 648.4512329101562]","[853.4779052734375, 540.2874145507812]","[799.39599609375, 563.4653930664062]","[1054.353515625, 810.6968383789062]","[1031.175537109375, 880.2307739257812]","[1239.777099609375, 687.0811157226562]","[1239.777099609375, 717.9850463867188]","[1425.20068359375, 864.7787475585938]","[1409.748779296875, 918.8607177734375]"
"[895.6468505859375, 560.1669921875]","[887.83056640625, 536.7182006835938]","[872.1979370117188, 552.3507690429688]","[786.2188110351562, 583.6159057617188]","[817.4839477539062, 567.9833374023438]","[864.3816528320312, 653.9624633789062]","[786.2188110351562, 700.8601684570312]","[872.1979370117188, 607.064697265625]","[794.0350952148438, 653.9624633789062]","[840.9328002929688, 567.9833374023438]","[786.2188110351562, 560.1669921875]","[1051.9725341796875, 810.2881469726562]","[1028.523681640625, 880.6347045898438]","[1239.563232421875, 685.2276000976562]","[1239.563232421875, 716.4927368164062]","[1403.705322265625, 896.2672729492188]","[1411.521728515625, 919.716064453125]"
"[877.2099609375, 573.7195434570312]","[869.6817626953125, 551.1349487304688]","[854.6253662109375, 558.6631469726562]","[771.815185546875, 581.2477416992188]","[801.927978515625, 581.2477416992188]","[847.09716796875, 664.0579223632812]","[779.3433837890625, 716.7553100585938]","[847.09716796875, 626.4169311523438]","[771.815185546875, 664.0579223632812]","[816.984375, 573.7195434570312]","[764.2869873046875, 573.7195434570312]","[1042.8302001953125, 807.0936889648438]","[1020.2456665039062, 882.3755493164062]","[1238.5633544921875, 694.1707153320312]","[1238.5633544921875, 716.7553100585938]","[1404.1837158203125, 897.4319458007812]","[1411.7119140625, 920.0166015625]"
"[866.4739379882812, 574.41552734375]","[866.4739379882812, 551.6107788085938]","[843.669189453125, 559.2123413085938]","[767.6533813476562, 620.0250854492188]","[798.0596923828125, 582.0171508789062]","[836.067626953125, 673.2361450195312]","[775.2549438476562, 726.447265625]","[843.669189453125, 635.2282104492188]","[767.6533813476562, 680.8377685546875]","[813.2628784179688, 574.41552734375]","[760.0517578125, 589.6187133789062]","[1041.310302734375, 810.064697265625]","[1018.5056762695312, 878.4789428710938]","[1231.35009765625, 696.0409545898438]","[1238.95166015625, 718.8456420898438]","[1406.1865234375, 901.2837524414062]","[1406.1865234375, 916.4868774414062]"
"[866.7555541992188, 574.1675415039062]","[859.1548461914062, 551.3654174804688]","[843.9534301757812, 558.9661254882812]","[767.9464111328125, 619.7717895507812]","[798.3492431640625, 581.7682495117188]","[836.3527221679688, 672.9767456054688]","[775.547119140625, 726.1815795898438]","[843.9534301757812, 634.9732055664062]","[767.9464111328125, 680.5773315429688]","[813.5505981445312, 574.1675415039062]","[760.345703125, 589.3689575195312]","[1041.571533203125, 809.7892456054688]","[1018.7695922851562, 878.1956176757812]","[1231.589111328125, 695.7787475585938]","[1239.18994140625, 718.5808715820312]","[1406.4052734375, 900.9977416992188]","[1406.4052734375, 916.1991577148438]"
"[856.0738525390625, 575.405517578125]","[840.736083984375, 552.3988647460938]","[833.0671997070312, 567.7366333007812]","[1446.578369140625, 905.1677856445312]","[787.0538940429688, 590.7433471679688]","[833.0671997070312, 682.7699584960938]","[779.3849487304688, 736.4522094726562]","[833.0671997070312, 636.7566528320312]","[748.7094116210938, 682.7699584960938]","[810.060546875, 583.0744018554688]","[748.7094116210938, 590.7433471679688]","[1047.7960205078125, 813.1410522460938]","[1017.1205444335938, 874.4922485351562]","[1231.849365234375, 690.4389038085938]","[1239.518310546875, 721.1144409179688]","[1408.23388671875, 905.1677856445312]","[1408.23388671875, 920.5055541992188]"
"[850.4660034179688, 584.1433715820312]","[834.9000244140625, 568.5773315429688]","[827.1170043945312, 568.5773315429688]","[757.0698852539062, 630.8414916992188]","[780.4188842773438, 599.7094116210938]","[827.1170043945312, 685.3224487304688]","[772.6359252929688, 739.8036499023438]","[834.9000244140625, 638.6244506835938]","[749.286865234375, 693.1055297851562]","[795.9849243164062, 576.3603515625]","[741.5038452148438, 599.7094116210938]","[1045.041259765625, 809.8507690429688]","[1013.9092407226562, 879.8977661132812]","[1231.83349609375, 693.1055297851562]","[1239.6165771484375, 716.4545288085938]","[1410.8427734375, 903.2467651367188]","[1410.8427734375, 918.8129272460938]"
"[850.6687622070312, 584.33740234375]","[835.1127319335938, 568.7814331054688]","[827.3347778320312, 568.7814331054688]","[757.3329467773438, 631.0053100585938]","[772.888916015625, 599.8933715820312]","[827.3347778320312, 685.4511108398438]","[772.888916015625, 739.89697265625]","[835.1127319335938, 638.7832641601562]","[749.5549926757812, 693.2291259765625]","[796.2228393554688, 576.5594482421875]","[741.7770385742188, 599.8933715820312]","[1045.1181640625, 809.8988037109375]","[1014.0062866210938, 879.9005737304688]","[1231.78955078125, 693.2291259765625]","[1239.567626953125, 716.5630493164062]","[1410.68310546875, 903.2345581054688]","[1410.68310546875, 918.79052734375]"
"[841.9566650390625, 589.9521484375]","[826.1931762695312, 574.1886596679688]","[810.4296875, 574.1886596679688]","[755.2575073242188, 645.1243286132812]","[771.02099609375, 605.7156372070312]","[826.1931762695312, 684.5330200195312]","[771.02099609375, 739.7051391601562]","[826.1931762695312, 645.1243286132812]","[747.3757934570312, 692.4147338867188]","[778.9027709960938, 605.7156372070312]","[723.7305908203125, 613.5973510742188]","[1039.0, 810.6408081054688]","[1015.3549194335938, 881.5764770507812]","[1236.04345703125, 700.2964477539062]","[1243.92529296875, 723.9417114257812]","[1409.441650390625, 905.2216186523438]","[1409.441650390625, 920.9851684570312]"
"[829.5546264648438, 600.6569213867188]","[813.0867309570312, 584.1890258789062]","[804.8527221679688, 584.1890258789062]","[730.7470092773438, 650.0607299804688]","[763.6829223632812, 608.8909301757812]","[813.0867309570312, 699.4645385742188]","[755.4489135742188, 757.1023559570312]","[813.0867309570312, 641.8267211914062]","[730.7470092773438, 699.4645385742188]","[763.6829223632812, 592.4229736328125]","[706.0451049804688, 617.1248168945312]","[1043.6378173828125, 822.9741821289062]","[1010.7019653320312, 888.8458862304688]","[1233.01904296875, 699.4645385742188]","[1241.2530517578125, 724.1664428710938]","[1405.932373046875, 913.5477905273438]","[1405.932373046875, 930.0156860351562]"
"[821.98779296875, 600.4286499023438]","[805.565673828125, 584.0065307617188]","[805.565673828125, 584.0065307617188]","[731.6661987304688, 649.6948852539062]","[764.5103759765625, 608.6396484375]","[813.7766723632812, 690.7501831054688]","[756.2993774414062, 756.4385375976562]","[813.7766723632812, 641.4838256835938]","[731.6661987304688, 707.1723022460938]","[772.721435546875, 584.0065307617188]","[707.0330200195312, 616.8507690429688]","[1035.47509765625, 813.9159545898438]","[1010.8419189453125, 887.8153686523438]","[1232.540283203125, 698.9612426757812]","[1240.7513427734375, 723.5944213867188]","[1404.972412109375, 912.4485473632812]","[1404.972412109375, 928.8706665039062]"
"[818.9015502929688, 601.4747314453125]","[810.6000366210938, 584.8716430664062]","[793.9969482421875, 593.1732177734375]","[727.5846557617188, 651.2839965820312]","[752.4891967773438, 618.0778198242188]","[810.6000366210938, 692.7916870117188]","[752.4891967773438, 759.2040405273438]","[802.2985229492188, 651.2839965820312]","[719.2830810546875, 717.6963500976562]","[752.4891967773438, 626.3793334960938]","[702.6799926757812, 634.6808471679688]","[1034.7415771484375, 817.3147583007812]","[1009.8369750976562, 892.0286254882812]","[1225.677001953125, 701.0932006835938]","[1242.280029296875, 725.9978637695312]","[1400.00927734375, 908.6317749023438]","[1408.3109130859375, 925.2348022460938]"
"[812.9312133789062, 610.6580200195312]","[796.1914672851562, 593.9183959960938]","[779.4517822265625, 593.9183959960938]","[720.8628540039062, 652.5072631835938]","[745.9723510742188, 627.3977661132812]","[804.5613403320312, 702.7263793945312]","[745.9723510742188, 769.6852416992188]","[796.1914672851562, 660.8771362304688]","[712.4929809570312, 719.4661254882812]","[745.9723510742188, 644.1373901367188]","[695.7532348632812, 635.7675170898438]","[1038.9171142578125, 819.9042358398438]","[1013.8075561523438, 886.8630981445312]","[1231.423583984375, 694.3565063476562]","[1239.79345703125, 727.8358764648438]","[1407.1904296875, 903.6027221679688]","[1407.1904296875, 928.7123413085938]"
"[801.9176025390625, 610.4196166992188]","[793.4312133789062, 593.4468383789062]","[767.9720458984375, 601.9332275390625]","[708.5673217773438, 652.8515014648438]","[734.0264892578125, 627.392333984375]","[801.9176025390625, 712.2562255859375]","[742.5128784179688, 771.660888671875]","[784.9447631835938, 669.8242797851562]","[700.0809326171875, 720.7426147460938]","[742.5128784179688, 635.8787231445312]","[683.1082153320312, 635.8787231445312]","[1031.0499267578125, 822.5792236328125]","[1005.5908203125, 890.4702758789062]","[1226.23681640625, 695.2833862304688]","[1234.72314453125, 729.2289428710938]","[1395.9644775390625, 924.415771484375]","[1412.937255859375, 932.9022216796875]"
"[801.9517211914062, 610.4900512695312]","[793.4629516601562, 593.5125732421875]","[767.9967651367188, 602.0012817382812]","[708.5756225585938, 652.9337158203125]","[734.0418090820312, 627.4674682617188]","[801.9517211914062, 712.3549194335938]","[742.5305786132812, 771.7760620117188]","[784.9741821289062, 669.9111938476562]","[700.0868530273438, 720.8436279296875]","[742.5305786132812, 635.9562377929688]","[683.109375, 635.9562377929688]","[1031.1475830078125, 822.7084350585938]","[1005.6814575195312, 890.6183471679688]","[1226.3885498046875, 695.3773803710938]","[1234.877197265625, 729.3323364257812]","[1396.163330078125, 924.5733032226562]","[1413.1407470703125, 933.0620727539062]"
"[788.0431518554688, 614.0972290039062]","[779.5106811523438, 597.0325317382812]","[762.4458618164062, 605.5648803710938]","[694.1865844726562, 639.6945190429688]","[728.3162231445312, 631.1621704101562]","[796.5755004882812, 707.9537963867188]","[736.8486938476562, 784.7454223632812]","[779.5106811523438, 673.8241577148438]","[702.7190551757812, 733.5510864257812]","[745.3810424804688, 673.8241577148438]","[685.6542358398438, 725.0186157226562]","[1026.9505615234375, 818.8750610351562]","[1001.3533935546875, 895.6668090820312]","[1223.196044921875, 699.4214477539062]","[1240.2607421875, 733.5510864257812]","[1402.3765869140625, 912.7316284179688]","[1410.908935546875, 929.7964477539062]"
"[783.9175415039062, 625.2658081054688]","[775.3417358398438, 608.1141357421875]","[758.1900634765625, 608.1141357421875]","[681.0076293945312, 642.41748046875]","[723.8867797851562, 642.41748046875]","[792.493408203125, 719.5999755859375]","[732.4625854492188, 788.20654296875]","[775.3417358398438, 685.296630859375]","[698.1592407226562, 745.3274536132812]","[732.4625854492188, 676.7208251953125]","[681.0076293945312, 728.17578125]","[1024.040771484375, 822.5098876953125]","[1006.8890991210938, 899.6923217773438]","[1221.28466796875, 702.4483032226562]","[1238.4364013671875, 728.17578125]","[1392.80126953125, 908.2681884765625]","[1409.952880859375, 925.4197998046875]"
"[783.8086547851562, 625.8203125]","[775.244140625, 608.6912231445312]","[758.1150512695312, 608.6912231445312]","[689.5985717773438, 642.9494018554688]","[723.8568115234375, 642.9494018554688]","[792.3732299804688, 711.4658813476562]","[732.4213256835938, 788.546875]","[775.244140625, 677.2077026367188]","[698.1631469726562, 745.72412109375]","[732.4213256835938, 677.2077026367188]","[681.0339965820312, 728.594970703125]","[1023.6162719726562, 822.8051147460938]","[1006.4871826171875, 899.8861694335938]","[1220.60107421875, 702.9013061523438]","[1237.730224609375, 737.1596069335938]","[1400.456787109375, 908.45068359375]","[1409.0213623046875, 925.5797729492188]"
