鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[974.75830078125, 556.3046875]","[968.4458618164062, 537.3672485351562]","[955.8208618164062, 543.6797485351562]","[1404.007080078125, 909.8037719726562]","[899.0084838867188, 562.6171875]","[917.9459838867188, 638.3670043945312]","[880.0711059570312, 676.2418823242188]","[1044.195556640625, 770.9291381835938]","[1037.883056640625, 789.8665161132812]","[1018.9457397460938, 682.5543823242188]","[1012.6332397460938, 669.9293823242188]","[1044.195556640625, 821.4288940429688]","[1025.258056640625, 903.4912719726562]","[1233.570068359375, 714.1167602539062]","[1246.195068359375, 758.3041381835938]","[1404.007080078125, 909.8037719726562]","[1416.632080078125, 935.0536499023438]"
"[964.3305053710938, 560.6377563476562]","[951.6043090820312, 535.1853637695312]","[938.8781127929688, 541.5484008789062]","[1403.3846435546875, 910.6084594726562]","[887.9732666015625, 567.0008544921875]","[913.4256591796875, 643.3580932617188]","[875.2470703125, 681.5367431640625]","[1040.687744140625, 770.6201782226562]","[1034.3245849609375, 789.70947265625]","[1008.8722534179688, 681.5367431640625]","[1002.5091552734375, 668.8104858398438]","[1047.05078125, 821.5250244140625]","[1021.5984497070312, 904.245361328125]","[1231.580810546875, 713.3522338867188]","[1250.670166015625, 757.8939819335938]","[1403.3846435546875, 916.9715576171875]","[1416.11083984375, 936.0608520507812]"
"[951.5604858398438, 563.2736206054688]","[945.0794067382812, 543.8304443359375]","[932.1172485351562, 550.3115234375]","[1405.23486328125, 893.807861328125]","[880.2687377929688, 569.7546997070312]","[899.7119750976562, 647.5274658203125]","[867.306640625, 686.4138793945312]","[1029.3331298828125, 764.1865844726562]","[1029.3331298828125, 790.1109008789062]","[1003.4089965820312, 686.4138793945312]","[996.9279174804688, 673.4517211914062]","[1048.7763671875, 816.0350952148438]","[1016.37109375, 900.2889404296875]","[1236.7271728515625, 718.8191528320312]","[1249.6893310546875, 757.7055053710938]","[1405.23486328125, 913.2510986328125]","[1418.1968994140625, 932.6942138671875]"
"[951.4287719726562, 562.990234375]","[944.9324340820312, 543.5011596679688]","[931.939697265625, 549.9974975585938]","[1406.174072265625, 894.3046264648438]","[879.9688110351562, 569.4866333007812]","[899.4578857421875, 647.4429321289062]","[860.4796752929688, 686.4210815429688]","[1029.385009765625, 764.3773803710938]","[1029.385009765625, 790.3628540039062]","[1003.399658203125, 686.4210815429688]","[996.9033203125, 673.4284057617188]","[1048.8741455078125, 816.3483276367188]","[1016.3923950195312, 900.8009643554688]","[1237.2685546875, 718.9028930664062]","[1250.2613525390625, 757.8810424804688]","[1399.677734375, 913.7937622070312]","[1412.67041015625, 933.2827758789062]"
"[939.8494262695312, 557.8074340820312]","[933.0896606445312, 537.5278930664062]","[919.5700073242188, 544.2877807617188]","[885.7708129882812, 551.0475463867188]","[872.2511596679688, 571.3270874023438]","[912.8101196289062, 645.6851196289062]","[858.7315063476562, 693.00390625]","[1027.72705078125, 753.8423461914062]","[1027.72705078125, 780.8816528320312]","[993.9280395507812, 686.2440795898438]","[987.1682739257812, 672.7244262695312]","[1048.006591796875, 814.6807861328125]","[1020.9673461914062, 895.7986450195312]","[1230.5218505859375, 713.2833862304688]","[1244.04150390625, 753.8423461914062]","[1406.27734375, 922.8379516601562]","[1419.7969970703125, 936.3576049804688]"
"[931.40771484375, 567.7222290039062]","[917.39453125, 560.7156372070312]","[910.3878784179688, 546.7024536132812]","[1421.869384765625, 911.0454711914062]","[861.3417358398438, 574.7288208007812]","[903.3812866210938, 644.7948608398438]","[847.3285522460938, 693.8410034179688]","[1022.4934692382812, 756.9003295898438]","[1022.4934692382812, 784.9266967773438]","[987.46044921875, 693.8410034179688]","[980.453857421875, 679.8278198242188]","[1050.519775390625, 819.9596557617188]","[1022.4934692382812, 890.0256958007812]","[1225.6846923828125, 714.8607788085938]","[1246.7044677734375, 756.9003295898438]","[1407.856201171875, 918.0520629882812]","[1428.8759765625, 946.0784301757812]"
"[931.2058715820312, 561.0570068359375]","[917.2252807617188, 561.0570068359375]","[910.2349243164062, 547.0763549804688]","[1420.5272216796875, 910.5723266601562]","[861.3027954101562, 575.0376586914062]","[903.24462890625, 644.9406127929688]","[847.3222045898438, 693.8728637695312]","[1022.079833984375, 756.7855834960938]","[1022.079833984375, 784.7467651367188]","[987.1282958984375, 686.8825073242188]","[980.1380004882812, 679.8921508789062]","[1050.041015625, 819.6983032226562]","[1022.079833984375, 889.6013793945312]","[1231.7889404296875, 714.8436889648438]","[1245.7696533203125, 756.7855834960938]","[1406.546630859375, 924.5529174804688]","[1420.5272216796875, 945.5238647460938]"
"[903.9432983398438, 566.0842895507812]","[888.9588623046875, 558.5921020507812]","[881.4666137695312, 558.5921020507812]","[1458.367431640625, 918.2186279296875]","[836.5133056640625, 581.0687866210938]","[881.4666137695312, 655.9909057617188]","[829.0211181640625, 708.4364624023438]","[1016.3265991210938, 760.8820190429688]","[1008.8343505859375, 783.3587036132812]","[971.3732299804688, 693.4519653320312]","[963.8810424804688, 685.9597778320312]","[1046.29541015625, 828.3119506835938]","[1023.8187866210938, 888.2496948242188]","[1226.108642578125, 715.9286499023438]","[1233.600830078125, 745.8975219726562]","[1443.3829345703125, 910.726318359375]","[1428.3984375, 940.6951904296875]"
"[894.3335571289062, 572.9003295898438]","[886.5816040039062, 557.3963012695312]","[871.0776977539062, 557.3963012695312]","[1413.71533203125, 929.4907836914062]","[824.5658569335938, 588.4042358398438]","[871.0776977539062, 665.9238891601562]","[824.5658569335938, 712.4357299804688]","[1018.3650512695312, 766.6994018554688]","[1002.8611450195312, 782.2033081054688]","[971.8532104492188, 696.9317016601562]","[956.3493041992188, 681.4277954101562]","[1049.372802734375, 820.9631958007812]","[1026.116943359375, 890.7308959960938]","[1227.6680908203125, 720.1876831054688]","[1235.4200439453125, 743.4435424804688]","[1460.22705078125, 921.7387084960938]","[1413.71533203125, 929.4907836914062]"
"[889.3017578125, 578.8347778320312]","[873.5567016601562, 555.2172241210938]","[865.6841430664062, 563.0897827148438]","[1416.7607421875, 933.0983276367188]","[810.5764770507812, 594.5798950195312]","[865.6841430664062, 665.4325561523438]","[818.4490356445312, 720.5402221679688]","[1007.3895874023438, 759.90283203125]","[999.5170288085938, 783.5203857421875]","[960.1544799804688, 696.9226684570312]","[952.2819213867188, 689.0501098632812]","[1046.752197265625, 822.8829956054688]","[1023.1346435546875, 893.7357177734375]","[1227.8201904296875, 720.5402221679688]","[1235.692626953125, 744.1577758789062]","[1448.250732421875, 933.0983276367188]","[1416.7607421875, 933.0983276367188]"
