Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LHSmallToe,LHeel,RBigToe,RHSmallToe,RHeel
"[258.031, 131.815, 0.941868]","[258.064, 158.625, 0.914486]","[238.178, 157.631, 0.815125]","[234.214, 193.414, 0.875076]","[231.2, 219.246, 0.860772]","[275.997, 158.632, 0.840043]","[279.957, 191.422, 0.798369]","[280.96, 219.322, 0.870886]","[255.105, 216.284, 0.719026]","[243.128, 215.315, 0.749027]","[250.114, 266.012, 0.837787]","[252.111, 312.766, 0.818397]","[266.997, 216.318, 0.761868]","[266.008, 266.023, 0.843439]","[265.981, 312.758, 0.814102]","[252.088, 129.781, 0.915839]","[260.095, 129.752, 0.873011]","[247.124, 131.751, 0.833339]","[267.074, 131.749, 0.922677]","[262.054, 322.679, 0.637878]","[267.049, 321.71, 0.726117]","[265.02, 314.795, 0.636137]","[253.121, 321.759, 0.715365]","[249.1, 321.721, 0.714739]","[255.085, 314.813, 0.621394]"
"[248.13, 131.725, 0.918056]","[258.03, 155.682, 0.921652]","[238.179, 155.64, 0.869403]","[225.236, 185.463, 0.839133]","[209.32, 211.324, 0.875818]","[275.013, 155.693, 0.894009]","[289.925, 185.471, 0.877864]","[304.815, 212.365, 0.816109]","[251.152, 214.322, 0.766293]","[241.166, 213.32, 0.734232]","[243.201, 265.049, 0.832837]","[247.115, 311.764, 0.773897]","[265.023, 216.284, 0.721802]","[264.041, 266.019, 0.796492]","[265.053, 312.789, 0.825299]","[244.18, 127.796, 0.844712]","[251.15, 127.797, 0.882733]",[],"[264.056, 130.783, 0.894822]","[259.097, 322.749, 0.77026]","[267.018, 322.7, 0.79427]","[264.044, 315.773, 0.670194]","[244.135, 321.706, 0.762703]","[238.194, 320.701, 0.728746]","[250.098, 314.787, 0.707287]"
"[260.082, 132.795, 0.878219]","[259.116, 158.639, 0.878564]","[241.185, 156.669, 0.85673]","[226.266, 186.416, 0.914733]","[207.367, 211.353, 0.856557]","[280.93, 159.619, 0.834612]","[292.888, 187.423, 0.866024]","[307.831, 217.267, 0.841304]","[258.072, 217.282, 0.796024]","[246.124, 216.3, 0.712666]","[250.163, 266.041, 0.840562]","[252.121, 312.742, 0.803963]","[268.027, 218.252, 0.745864]","[266.062, 266.055, 0.847097]","[265.983, 312.764, 0.820218]","[258.017, 130.756, 0.929796]","[265.999, 130.746, 0.946374]","[250.129, 131.798, 0.925481]","[271.976, 131.767, 0.837242]","[262.047, 321.759, 0.672943]","[267.047, 321.714, 0.766393]","[265.018, 314.804, 0.62754]","[253.113, 321.726, 0.702985]","[249.104, 321.69, 0.7011]","[255.085, 314.804, 0.61612]"
"[259.068, 131.825, 0.95371]","[259.059, 159.602, 0.89707]","[241.132, 158.612, 0.8232]","[235.199, 193.438, 0.874174]","[234.18, 219.271, 0.913374]","[279.953, 158.63, 0.828083]","[280.946, 190.442, 0.813888]","[281.884, 219.321, 0.876939]","[258.049, 216.295, 0.749907]","[244.19, 215.32, 0.69685]","[251.073, 266.011, 0.823956]","[252.121, 312.751, 0.807505]","[268.019, 217.271, 0.725692]","[266.051, 266.026, 0.850299]","[265.98, 312.77, 0.820241]","[256.068, 129.784, 0.880999]","[265.001, 129.776, 0.88253]","[249.132, 131.73, 0.871158]","[269.031, 131.735, 0.843463]","[262.055, 322.681, 0.642586]","[267.047, 321.715, 0.731559]","[265.008, 314.796, 0.633846]","[254.08, 321.747, 0.70704]","[249.115, 321.708, 0.710826]","[255.083, 314.803, 0.625179]"
"[260.054, 132.799, 0.887188]","[260.046, 160.622, 0.884153]","[242.131, 160.587, 0.850295]","[235.204, 194.438, 0.884696]","[232.213, 221.277, 0.804233]","[280.928, 160.61, 0.843794]","[281.931, 192.435, 0.838703]","[282.932, 222.284, 0.840189]","[258.089, 218.254, 0.773392]","[245.164, 217.295, 0.696798]","[250.161, 266.066, 0.828055]","[252.124, 312.737, 0.802683]","[269.029, 218.285, 0.712916]","[266.054, 267.006, 0.852999]","[265.974, 312.77, 0.81843]","[257.078, 130.748, 0.920927]","[265.974, 130.743, 0.931625]","[250.109, 131.776, 0.918863]","[270.995, 131.756, 0.836844]","[262.038, 321.754, 0.664058]","[267.037, 321.708, 0.751432]","[265.006, 314.798, 0.628315]","[253.106, 321.729, 0.716679]","[249.102, 321.686, 0.709919]","[255.089, 314.793, 0.622869]"
"[259.118, 132.786, 0.904332]","[259.112, 160.607, 0.890083]","[242.106, 159.62, 0.835965]","[235.239, 194.429, 0.871739]","[234.205, 219.342, 0.88859]","[280.925, 160.593, 0.840193]","[280.964, 191.449, 0.813398]","[281.908, 220.263, 0.870287]","[258.085, 217.296, 0.775644]","[246.125, 217.273, 0.69426]","[251.081, 266.02, 0.823964]","[252.125, 312.741, 0.801721]","[269.004, 218.266, 0.725453]","[266.062, 266.04, 0.851691]","[265.978, 312.777, 0.821253]","[257.062, 130.737, 0.915274]","[265.045, 130.734, 0.925113]","[250.097, 131.756, 0.908407]","[270.982, 131.746, 0.830106]","[262.039, 322.681, 0.65223]","[267.038, 321.72, 0.743983]","[265.009, 314.801, 0.629946]","[253.12, 321.745, 0.710387]","[249.11, 321.703, 0.712163]","[255.089, 314.795, 0.622361]"
"[260.069, 132.791, 0.884079]","[260.048, 159.618, 0.873407]","[242.127, 157.645, 0.853669]","[229.247, 187.476, 0.854348]","[217.309, 217.276, 0.860668]","[280.937, 159.625, 0.840517]","[289.872, 187.503, 0.891811]","[298.878, 219.27, 0.903538]","[258.061, 217.286, 0.795391]","[245.14, 216.309, 0.725125]","[251.066, 266.04, 0.843698]","[252.117, 312.737, 0.804459]","[268.028, 218.258, 0.752062]","[266.056, 266.06, 0.853576]","[265.982, 312.757, 0.818769]","[257.092, 130.745, 0.92172]","[265.989, 130.74, 0.938434]","[250.12, 131.782, 0.926688]","[271.014, 131.757, 0.841943]","[262.052, 321.745, 0.665318]","[267.052, 321.699, 0.753079]","[265.021, 314.799, 0.631701]","[253.109, 321.719, 0.707879]","[249.101, 321.683, 0.703884]","[255.08, 314.802, 0.615455]"
"[260.066, 132.803, 0.88153]","[260.043, 160.62, 0.888549]","[242.127, 158.644, 0.851022]","[234.21, 193.425, 0.882329]","[227.2, 219.326, 0.893913]","[280.929, 160.63, 0.845259]","[282.978, 191.428, 0.833001]","[288.907, 224.258, 0.843075]","[258.056, 217.308, 0.778048]","[244.179, 217.277, 0.719563]","[251.072, 266.056, 0.840122]","[252.122, 312.741, 0.805385]","[268.043, 218.287, 0.733338]","[266.051, 266.999, 0.858382]","[265.983, 312.766, 0.82137]","[257.09, 130.754, 0.926564]","[265.984, 130.748, 0.939791]","[250.115, 131.782, 0.923279]","[271, 131.754, 0.834508]","[262.049, 321.758, 0.669636]","[267.049, 321.709, 0.756807]","[265.02, 314.8, 0.630628]","[253.115, 321.729, 0.717636]","[249.106, 321.689, 0.715439]","[255.084, 314.8, 0.618396]"
"[260.068, 132.792, 0.884986]","[260.044, 160.588, 0.877488]","[242.13, 158.621, 0.851396]","[231.201, 190.437, 0.801879]","[219.273, 219.284, 0.90644]","[280.93, 160.594, 0.840922]","[288.863, 189.456, 0.823387]","[296.82, 220.316, 0.834396]","[258.072, 217.294, 0.796609]","[245.146, 216.317, 0.724265]","[251.066, 266.047, 0.843321]","[252.117, 312.74, 0.80697]","[268.045, 218.273, 0.749772]","[266.06, 266.99, 0.856196]","[265.985, 312.761, 0.821681]","[257.091, 130.746, 0.922879]","[265.987, 130.739, 0.936814]","[250.119, 131.782, 0.926529]","[271.009, 131.752, 0.838748]","[262.057, 321.751, 0.659063]","[267.054, 321.704, 0.74715]","[265.019, 314.8, 0.633177]","[253.114, 321.723, 0.711937]","[249.104, 321.687, 0.708871]","[255.078, 314.802, 0.616842]"
"[260.05, 132.805, 0.884241]","[259.125, 160.622, 0.885235]","[242.123, 159.635, 0.845929]","[235.239, 194.45, 0.875391]","[234.197, 223.281, 0.840019]","[280.929, 160.608, 0.844609]","[281.906, 192.442, 0.831216]","[281.935, 221.278, 0.856859]","[258.084, 217.301, 0.771975]","[245.17, 217.282, 0.690136]","[251.066, 266.057, 0.827955]","[252.128, 312.741, 0.801823]","[269.001, 218.271, 0.720898]","[266.06, 266.049, 0.852767]","[265.975, 312.775, 0.819194]","[257.075, 130.751, 0.920147]","[265.969, 130.748, 0.929614]","[250.101, 131.772, 0.915932]","[270.991, 131.756, 0.836489]","[262.032, 322.677, 0.654113]","[267.033, 321.716, 0.746448]","[265.011, 314.799, 0.629071]","[253.116, 321.739, 0.710126]","[249.108, 321.696, 0.709375]","[255.094, 314.793, 0.6211]"
