Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LHSmallToe,LHeel,RBigToe,RHSmallToe,RHeel
"[192.626, 110.15, 0.906714]","[191.476, 153.759, 0.873384]","[162.022, 153.75, 0.812105]","[156.12, 200.934, 0.857135]","[154.936, 237.505, 0.836483]","[219.79, 152.611, 0.815287]","[222.226, 196.221, 0.816615]","[230.394, 237.485, 0.856817]","[192.625, 233.958, 0.698606]","[173.838, 233.963, 0.702381]","[175.053, 310.591, 0.79708]","[183.212, 381.31, 0.843621]","[210.345, 233.947, 0.682123]","[204.493, 308.264, 0.791771]","[202.105, 377.812, 0.8031]","[184.408, 106.615, 0.930037]","[197.39, 106.625, 0.87192]","[174.991, 112.514, 0.851477]","[203.381, 113.673, 0.791756]","[202.137, 395.522, 0.775836]","[210.387, 392.013, 0.802259]","[197.403, 382.54, 0.652143]","[184.42, 397.83, 0.680232]","[175.015, 394.33, 0.708378]","[184.446, 383.743, 0.704652]"
"[191.5, 110.151, 0.89134]","[189.172, 153.761, 0.853164]","[159.691, 153.763, 0.809122]","[156.095, 200.912, 0.838319]","[154.906, 237.482, 0.828593]","[218.632, 152.605, 0.805008]","[222.193, 197.432, 0.838699]","[229.26, 237.497, 0.842232]","[191.508, 233.963, 0.699196]","[173.808, 233.977, 0.701243]","[175.03, 309.446, 0.80306]","[183.215, 381.303, 0.846035]","[209.206, 233.951, 0.684638]","[204.483, 308.26, 0.794458]","[202.11, 377.802, 0.804105]","[183.301, 106.611, 0.92234]","[195.098, 106.615, 0.882258]","[173.871, 112.515, 0.850542]","[203.329, 113.686, 0.814721]","[202.122, 395.518, 0.782032]","[210.381, 392.016, 0.802983]","[197.412, 382.532, 0.642105]","[184.431, 396.679, 0.673475]","[175.022, 394.317, 0.703897]","[184.453, 383.739, 0.704166]"
"[191.536, 110.154, 0.902681]","[190.351, 153.761, 0.867236]","[160.875, 153.756, 0.809679]","[156.107, 199.788, 0.839049]","[154.918, 237.481, 0.831798]","[219.769, 152.611, 0.80952]","[222.207, 196.231, 0.829141]","[230.36, 237.484, 0.847885]","[191.531, 233.96, 0.697206]","[173.829, 233.97, 0.701635]","[175.044, 310.593, 0.800056]","[183.22, 381.308, 0.84639]","[210.344, 232.82, 0.682325]","[204.49, 308.262, 0.793]","[202.108, 377.8, 0.803348]","[184.401, 106.619, 0.929608]","[196.248, 106.625, 0.875349]","[174.979, 112.518, 0.851675]","[203.36, 112.533, 0.788076]","[202.129, 395.518, 0.780517]","[210.382, 392.014, 0.804057]","[197.411, 382.533, 0.646148]","[184.415, 397.832, 0.681425]","[175.013, 394.33, 0.710029]","[184.456, 383.74, 0.709062]"
"[191.48, 110.158, 0.882862]","[189.137, 153.761, 0.848807]","[159.668, 153.77, 0.812333]","[155.017, 200.932, 0.841953]","[153.804, 238.636, 0.828298]","[217.471, 152.6, 0.799557]","[222.176, 197.42, 0.84913]","[229.24, 237.505, 0.837452]","[191.499, 233.973, 0.694381]","[173.799, 235.127, 0.694579]","[175.025, 309.412, 0.804924]","[183.213, 381.303, 0.845226]","[209.197, 233.962, 0.676198]","[204.476, 308.245, 0.799964]","[202.115, 377.799, 0.803271]","[183.284, 106.615, 0.925124]","[195.082, 106.608, 0.886521]","[173.857, 112.52, 0.843339]","[203.319, 112.515, 0.81738]","[202.128, 395.517, 0.779639]","[210.388, 392.015, 0.807773]","[197.422, 382.529, 0.640708]","[184.423, 397.838, 0.676651]","[175.019, 394.343, 0.706669]","[184.451, 383.738, 0.707081]"
"[192.63, 110.15, 0.908037]","[191.492, 153.754, 0.877818]","[162.035, 153.748, 0.814364]","[156.129, 200.941, 0.858218]","[154.946, 237.518, 0.841228]","[219.803, 152.609, 0.817782]","[222.23, 196.215, 0.816381]","[230.4, 237.481, 0.855656]","[192.638, 233.958, 0.698959]","[173.847, 233.965, 0.700147]","[175.061, 309.449, 0.794832]","[183.209, 381.312, 0.842445]","[210.363, 233.946, 0.684268]","[204.493, 308.268, 0.79024]","[202.107, 377.814, 0.803088]","[184.413, 106.616, 0.930599]","[197.396, 106.624, 0.871665]","[174.999, 112.514, 0.850934]","[204.471, 112.532, 0.79559]","[202.139, 395.525, 0.777875]","[210.387, 392.017, 0.80236]","[197.404, 382.543, 0.65129]","[184.428, 396.698, 0.678317]","[175.017, 394.33, 0.707243]","[184.439, 383.748, 0.699562]"
"[190.349, 110.161, 0.873626]","[187.972, 153.77, 0.855822]","[158.514, 153.777, 0.820277]","[155.011, 200.957, 0.860428]","[153.787, 238.646, 0.828963]","[217.436, 152.615, 0.801019]","[222.167, 198.569, 0.845033]","[229.212, 238.662, 0.841931]","[191.481, 233.946, 0.688975]","[173.782, 233.956, 0.69035]","[175.019, 308.282, 0.806925]","[183.213, 381.307, 0.844586]","[209.173, 232.807, 0.675639]","[203.366, 308.228, 0.806663]","[202.116, 377.817, 0.800083]","[183.268, 106.624, 0.925316]","[195.05, 106.618, 0.898021]","[173.842, 112.53, 0.843856]","[203.294, 112.531, 0.819099]","[202.135, 395.525, 0.784079]","[210.394, 392.021, 0.805915]","[197.424, 382.545, 0.642515]","[184.451, 396.682, 0.667771]","[175.037, 394.33, 0.697755]","[184.449, 383.747, 0.693247]"
"[191.467, 110.159, 0.87755]","[187.98, 153.768, 0.854447]","[158.516, 153.775, 0.819152]","[155.009, 200.944, 0.856777]","[153.791, 238.658, 0.830804]","[217.45, 152.612, 0.801668]","[222.167, 197.432, 0.849537]","[229.22, 238.657, 0.842616]","[191.486, 233.952, 0.691006]","[173.788, 233.965, 0.692127]","[175.019, 308.279, 0.807269]","[183.211, 381.311, 0.843278]","[209.176, 232.811, 0.676042]","[203.366, 308.229, 0.805398]","[202.12, 377.817, 0.800293]","[183.274, 106.619, 0.925284]","[195.067, 106.609, 0.891137]","[173.848, 112.522, 0.842877]","[203.307, 112.513, 0.819126]","[202.131, 396.663, 0.782342]","[210.398, 393.119, 0.80333]","[197.426, 382.545, 0.639755]","[184.433, 396.697, 0.668127]","[175.025, 394.34, 0.697015]","[184.451, 383.751, 0.693472]"
"[190.346, 110.16, 0.87253]","[187.973, 153.766, 0.853218]","[158.51, 153.776, 0.821025]","[155.005, 200.96, 0.861153]","[153.79, 238.665, 0.831548]","[217.434, 152.61, 0.799773]","[222.167, 197.432, 0.842923]","[229.221, 238.643, 0.841481]","[191.492, 233.947, 0.689582]","[173.79, 233.959, 0.690274]","[175.024, 309.415, 0.804956]","[183.214, 381.306, 0.84505]","[209.186, 232.807, 0.679623]","[203.363, 308.232, 0.808525]","[202.121, 377.819, 0.803649]","[183.265, 106.626, 0.92518]","[195.047, 106.617, 0.897932]","[173.839, 112.531, 0.844113]","[203.291, 112.536, 0.814736]","[202.138, 395.509, 0.788598]","[210.398, 392.01, 0.816199]","[198.569, 382.542, 0.644337]","[184.435, 396.685, 0.673754]","[175.028, 394.329, 0.707413]","[184.454, 383.738, 0.698463]"
"[190.347, 110.157, 0.874536]","[187.97, 153.767, 0.855187]","[158.51, 153.78, 0.821723]","[155.001, 200.954, 0.859177]","[153.788, 238.667, 0.832044]","[217.434, 152.609, 0.800563]","[222.166, 197.427, 0.842416]","[229.208, 238.651, 0.838763]","[191.486, 232.814, 0.688403]","[173.782, 233.955, 0.688177]","[175.016, 308.27, 0.81091]","[183.206, 381.302, 0.841731]","[209.183, 232.8, 0.679396]","[204.463, 308.226, 0.80713]","[202.107, 377.813, 0.798155]","[183.266, 106.626, 0.926284]","[195.048, 106.616, 0.89738]","[173.839, 112.536, 0.844256]","[203.292, 113.673, 0.820228]","[202.126, 395.513, 0.780689]","[210.384, 392.014, 0.805811]","[197.415, 382.541, 0.639898]","[184.437, 396.663, 0.674224]","[175.02, 394.315, 0.713966]","[184.44, 383.744, 0.691893]"
"[191.47, 110.157, 0.878417]","[187.985, 153.766, 0.852591]","[158.522, 153.773, 0.817598]","[155.013, 200.939, 0.852709]","[153.793, 238.655, 0.833156]","[217.451, 152.608, 0.800925]","[222.169, 198.57, 0.848959]","[229.224, 238.648, 0.841121]","[191.487, 233.957, 0.692018]","[173.787, 233.97, 0.693244]","[175.016, 308.277, 0.807752]","[183.209, 381.304, 0.841502]","[209.181, 232.816, 0.676421]","[204.473, 308.226, 0.803017]","[202.116, 377.809, 0.8]","[183.275, 106.618, 0.924843]","[195.067, 106.608, 0.891586]","[173.851, 112.524, 0.84218]","[203.306, 112.509, 0.818037]","[202.128, 396.666, 0.781286]","[210.395, 393.119, 0.80163]","[197.42, 382.539, 0.638876]","[184.422, 397.841, 0.672993]","[175.017, 394.348, 0.701582]","[184.45, 383.742, 0.6989]"
"[190.342, 110.16, 0.871905]","[187.968, 153.768, 0.854801]","[158.507, 153.781, 0.824161]","[155.004, 200.961, 0.858377]","[153.791, 238.667, 0.830547]","[216.296, 152.613, 0.801452]","[222.165, 198.569, 0.842469]","[229.22, 238.646, 0.840766]","[191.488, 233.969, 0.689096]","[173.785, 233.983, 0.688094]","[175.02, 309.423, 0.803851]","[183.201, 381.312, 0.839921]","[209.184, 233.956, 0.675288]","[203.365, 308.249, 0.804878]","[202.115, 377.824, 0.801089]","[183.262, 106.626, 0.925598]","[195.04, 106.617, 0.899325]","[173.837, 112.531, 0.841953]","[203.284, 113.67, 0.813434]","[202.126, 395.516, 0.781219]","[210.391, 392.018, 0.80854]","[197.417, 382.548, 0.640626]","[184.426, 397.835, 0.684294]","[175.022, 394.341, 0.706445]","[184.44, 383.748, 0.701289]"
"[190.342, 110.16, 0.872019]","[187.967, 153.765, 0.854002]","[158.51, 153.777, 0.821936]","[155.005, 200.956, 0.858103]","[153.79, 238.667, 0.832262]","[216.297, 152.61, 0.800683]","[222.165, 198.567, 0.841471]","[229.228, 238.639, 0.841016]","[191.489, 233.956, 0.690161]","[173.786, 233.967, 0.690647]","[175.021, 309.42, 0.803484]","[183.206, 381.308, 0.841075]","[209.186, 232.817, 0.677395]","[203.367, 308.241, 0.804865]","[202.116, 377.815, 0.799935]","[183.262, 106.626, 0.925726]","[195.04, 106.617, 0.8999]","[173.837, 112.532, 0.843629]","[203.285, 113.67, 0.814225]","[202.137, 395.514, 0.783098]","[210.399, 392.012, 0.812448]","[197.42, 382.543, 0.640705]","[184.432, 397.833, 0.6802]","[175.026, 394.341, 0.705472]","[184.444, 383.742, 0.701013]"
"[191.472, 110.156, 0.881096]","[187.996, 153.763, 0.85043]","[159.663, 153.77, 0.813264]","[155.013, 200.925, 0.841694]","[153.803, 238.639, 0.829845]","[217.455, 152.605, 0.800708]","[222.167, 197.404, 0.852679]","[229.226, 237.512, 0.834236]","[191.489, 233.982, 0.692477]","[173.795, 235.139, 0.694942]","[175.02, 309.41, 0.806421]","[183.213, 381.303, 0.846016]","[209.176, 233.966, 0.673244]","[204.475, 308.246, 0.801509]","[202.114, 377.798, 0.802418]","[183.279, 106.617, 0.925515]","[195.071, 106.605, 0.890138]","[173.856, 112.523, 0.843773]","[203.314, 112.51, 0.818119]","[202.129, 395.519, 0.778223]","[210.388, 392.017, 0.805546]","[197.42, 382.53, 0.642205]","[184.424, 397.837, 0.67628]","[175.019, 394.343, 0.706237]","[184.451, 383.738, 0.706757]"
"[190.345, 110.159, 0.872859]","[187.974, 153.765, 0.853134]","[158.511, 153.774, 0.820273]","[155.005, 200.959, 0.862454]","[153.791, 238.663, 0.832694]","[217.436, 152.613, 0.800025]","[222.167, 198.565, 0.8435]","[229.217, 238.651, 0.842061]","[191.49, 233.947, 0.690215]","[173.791, 233.957, 0.690742]","[175.017, 309.414, 0.805185]","[183.215, 381.308, 0.845165]","[209.178, 232.808, 0.678243]","[203.366, 308.234, 0.807411]","[202.119, 377.823, 0.802043]","[183.264, 106.625, 0.925154]","[195.046, 106.617, 0.897999]","[173.839, 112.534, 0.842625]","[203.291, 112.536, 0.815177]","[202.135, 395.513, 0.783562]","[210.394, 392.014, 0.811087]","[198.567, 382.546, 0.643784]","[184.438, 396.68, 0.672483]","[175.033, 394.325, 0.705098]","[184.456, 383.74, 0.69702]"
"[191.471, 110.161, 0.878044]","[187.993, 153.766, 0.852422]","[158.528, 153.774, 0.814937]","[155.014, 200.931, 0.850752]","[153.791, 238.64, 0.828764]","[217.457, 152.606, 0.800947]","[222.167, 198.571, 0.847134]","[229.228, 238.635, 0.836263]","[191.494, 233.964, 0.69484]","[173.793, 233.974, 0.695625]","[175.021, 308.276, 0.806528]","[183.21, 381.298, 0.843]","[209.186, 233.957, 0.67702]","[204.462, 308.232, 0.804955]","[202.111, 377.795, 0.799839]","[183.276, 106.618, 0.924925]","[195.071, 106.607, 0.890598]","[173.85, 112.518, 0.84518]","[203.313, 112.514, 0.818262]","[202.126, 395.519, 0.7794]","[210.386, 392.016, 0.803717]","[197.419, 382.528, 0.641747]","[184.42, 397.836, 0.678576]","[175.016, 394.343, 0.708549]","[184.449, 383.733, 0.71033]"
"[190.342, 110.158, 0.872798]","[187.968, 153.766, 0.85283]","[158.507, 153.782, 0.824154]","[155.008, 200.96, 0.857503]","[153.793, 238.678, 0.835378]","[216.299, 152.609, 0.799871]","[222.165, 197.412, 0.844758]","[229.219, 237.511, 0.833647]","[191.489, 233.984, 0.688346]","[173.788, 235.14, 0.688913]","[175.012, 309.447, 0.806069]","[183.198, 381.306, 0.832509]","[209.18, 233.97, 0.673684]","[203.349, 308.289, 0.800747]","[202.118, 377.829, 0.795004]","[183.262, 106.626, 0.924967]","[195.04, 106.617, 0.899912]","[173.838, 112.533, 0.842167]","[203.285, 113.672, 0.815002]","[202.112, 396.66, 0.770007]","[210.382, 393.126, 0.796383]","[197.429, 382.55, 0.635422]","[184.41, 397.844, 0.676789]","[175.009, 394.344, 0.698285]","[184.443, 383.74, 0.693732]"
"[190.335, 110.159, 0.870462]","[187.976, 153.767, 0.853074]","[158.513, 153.786, 0.822887]","[155.007, 200.959, 0.858072]","[153.794, 238.681, 0.836761]","[216.301, 152.604, 0.798377]","[222.165, 196.258, 0.848841]","[229.223, 237.492, 0.827885]","[191.484, 233.985, 0.686795]","[173.786, 235.141, 0.689404]","[175.018, 309.44, 0.802225]","[183.207, 381.309, 0.838299]","[209.172, 233.97, 0.670856]","[203.346, 308.277, 0.80684]","[202.124, 378.969, 0.799856]","[183.257, 106.624, 0.924665]","[195.04, 106.61, 0.895657]","[173.832, 112.522, 0.845153]","[203.29, 112.522, 0.821438]","[202.112, 395.524, 0.772167]","[210.381, 393.125, 0.797779]","[198.575, 382.554, 0.636168]","[184.404, 397.844, 0.680723]","[175.007, 394.337, 0.702812]","[184.451, 383.736, 0.700275]"
"[190.324, 110.167, 0.864963]","[187.979, 153.768, 0.853178]","[158.513, 153.786, 0.821711]","[155.016, 200.962, 0.856362]","[153.798, 238.689, 0.84067]","[217.436, 152.6, 0.797429]","[222.168, 197.39, 0.842969]","[229.229, 237.51, 0.835273]","[191.499, 233.976, 0.690233]","[173.799, 235.132, 0.688765]","[175.025, 309.443, 0.802033]","[183.205, 381.309, 0.841665]","[209.184, 233.96, 0.674763]","[203.344, 309.418, 0.804932]","[202.124, 378.967, 0.803428]","[183.253, 106.629, 0.925091]","[195.036, 106.617, 0.897619]","[173.835, 112.525, 0.844205]","[203.29, 112.53, 0.823624]","[202.108, 396.663, 0.775127]","[210.38, 393.129, 0.799697]","[198.573, 382.549, 0.647115]","[183.282, 397.837, 0.678278]","[174.984, 394.328, 0.705682]","[184.46, 383.736, 0.70463]"
"[190.328, 110.165, 0.866799]","[187.982, 153.77, 0.854117]","[158.512, 153.791, 0.823522]","[155.016, 200.96, 0.855898]","[153.801, 238.682, 0.843557]","[217.442, 152.604, 0.798327]","[222.166, 196.258, 0.842673]","[229.221, 237.518, 0.830138]","[191.493, 235.135, 0.689051]","[173.8, 235.153, 0.690803]","[175.026, 309.45, 0.800506]","[183.202, 381.3, 0.837941]","[208.042, 233.987, 0.668966]","[203.348, 309.419, 0.804617]","[202.123, 377.831, 0.804369]","[183.253, 106.627, 0.924466]","[195.041, 106.617, 0.897163]","[173.837, 112.525, 0.842375]","[203.295, 113.67, 0.820322]","[202.101, 395.517, 0.781221]","[210.379, 393.123, 0.80513]","[198.57, 382.544, 0.649773]","[183.294, 397.835, 0.685649]","[174.996, 394.327, 0.711098]","[184.453, 383.722, 0.720693]"
"[149.075, 130.215, 0.842127]","[154.943, 156.12, 0.940767]","[126.652, 156.122, 0.887326]","[97.1764, 185.628, 0.823947]","[91.2785, 164.365, 0.824586]","[183.257, 156.091, 0.855544]","[218.625, 175.052, 0.751444]","[218.633, 163.185, 0.663298]","[152.607, 241.011, 0.714477]","[133.757, 239.865, 0.693405]","[129.018, 315.271, 0.786493]","[126.687, 380.168, 0.829307]","[172.615, 241.056, 0.712698]","[165.628, 307.094, 0.822522]","[178.541, 373.115, 0.6976]","[145.512, 126.605, 0.924109]","[156.12, 126.616, 0.944046]","[137.275, 125.493, 0.530864]","[166.732, 126.641, 0.853826]","[182.072, 391.941, 0.628916]","[191.486, 389.599, 0.631734]","[174.981, 380.168, 0.550324]","[124.289, 395.508, 0.716297]","[117.181, 391.996, 0.771985]","[129.052, 383.711, 0.692862]"
"[146.741, 138.455, 0.904534]","[152.583, 162.007, 0.837743]","[124.299, 160.878, 0.818074]","[99.571, 193.892, 0.857839]","[97.2011, 167.937, 0.800107]","[180.877, 160.852, 0.769143]","[211.545, 189.152, 0.821697]","[205.655, 166.762, 0.718486]","[149.083, 243.412, 0.698641]","[130.212, 242.232, 0.687187]","[127.802, 315.323, 0.837268]","[126.663, 380.163, 0.820227]","[169.093, 245.739, 0.675375]","[163.188, 310.585, 0.769246]","[165.629, 373.14, 0.749424]","[143.176, 134.904, 0.865474]","[154.894, 134.876, 0.88802]","[136.036, 134.87, 0.688907]","[164.402, 130.195, 0.843879]","[166.762, 391.937, 0.734395]","[176.175, 389.61, 0.711795]","[164.393, 380.139, 0.552897]","[124.292, 395.487, 0.73231]","[117.177, 391.983, 0.786014]","[129.032, 383.704, 0.684801]"
"[145.539, 146.677, 0.923763]","[149.094, 164.399, 0.88936]","[120.774, 165.531, 0.870111]","[105.42, 203.278, 0.831336]","[100.701, 174.966, 0.831109]","[179.702, 163.24, 0.794357]","[203.261, 200.919, 0.839048]","[193.935, 183.285, 0.767287]","[146.765, 248.118, 0.758164]","[127.889, 248.08, 0.725225]","[126.643, 316.492, 0.834259]","[126.666, 380.163, 0.807755]","[165.617, 249.274, 0.736272]","[156.152, 314.105, 0.806199]","[157.301, 375.469, 0.719667]","[139.622, 140.82, 0.83791]","[151.43, 139.656, 0.835524]","[133.719, 139.622, 0.546626]","[163.216, 137.317, 0.841624]","[157.313, 392.023, 0.729067]","[165.618, 390.802, 0.745492]","[154.95, 381.351, 0.556153]","[124.297, 395.514, 0.719521]","[117.187, 391.995, 0.764764]","[129.032, 383.703, 0.675387]"
