Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LHSmallToe,LHeel,RBigToe,RHSmallToe,RHeel
"[180.893, 110.172, 0.860712]","[193.898, 153.786, 0.906146]","[165.604, 153.75, 0.84447]","[144.367, 190.353, 0.802316]","[118.446, 229.21, 0.839272]","[222.202, 153.761, 0.842706]","[241.049, 191.5, 0.852762]","[261.091, 230.405, 0.837817]","[192.704, 236.327, 0.735992]","[173.839, 235.16, 0.715448]","[173.853, 309.448, 0.779333]","[179.715, 380.136, 0.748173]","[211.548, 237.486, 0.731738]","[206.826, 310.598, 0.741534]","[202.122, 378.974, 0.803075]","[176.179, 107.752, 0.909662]","[185.641, 106.603, 0.892798]",[],"[203.326, 109.01, 0.920039]","[202.132, 396.681, 0.7606]","[210.4, 393.134, 0.791144]","[196.243, 382.564, 0.673354]","[182.073, 394.335, 0.608391]","[172.657, 393.132, 0.666577]","[183.236, 383.71, 0.633424]"
"[192.641, 110.144, 0.915169]","[192.62, 153.76, 0.900401]","[163.207, 153.749, 0.830647]","[156.174, 200.914, 0.833803]","[154.984, 238.675, 0.862058]","[220.943, 152.617, 0.831]","[223.332, 197.433, 0.818196]","[230.412, 238.656, 0.867139]","[192.674, 232.796, 0.713935]","[173.878, 232.791, 0.711863]","[175.071, 309.43, 0.787933]","[183.209, 381.311, 0.846359]","[210.4, 232.797, 0.697224]","[204.523, 308.255, 0.776661]","[202.104, 377.803, 0.804161]","[184.419, 106.614, 0.927347]","[197.417, 106.613, 0.869046]","[175.026, 112.537, 0.836482]","[204.498, 112.517, 0.798306]","[202.133, 396.664, 0.786742]","[210.382, 392.02, 0.8028]","[196.26, 382.533, 0.655731]","[184.42, 396.684, 0.684919]","[175.016, 394.315, 0.715511]","[184.444, 383.741, 0.711344]"
"[192.639, 110.145, 0.913613]","[191.521, 153.762, 0.892423]","[163.185, 153.756, 0.82463]","[156.147, 200.943, 0.852991]","[154.966, 238.673, 0.858303]","[219.831, 152.617, 0.824252]","[222.233, 196.257, 0.819899]","[230.422, 237.503, 0.860896]","[192.656, 233.962, 0.702752]","[173.86, 233.961, 0.702824]","[175.059, 310.586, 0.79118]","[183.211, 381.309, 0.844485]","[210.385, 233.956, 0.687649]","[204.511, 308.267, 0.780996]","[202.106, 377.804, 0.803423]","[184.418, 106.615, 0.92782]","[197.416, 106.617, 0.868892]","[175.019, 112.532, 0.841617]","[204.494, 112.53, 0.799302]","[202.132, 395.521, 0.784231]","[210.383, 392.013, 0.806735]","[197.393, 382.535, 0.652646]","[184.417, 396.694, 0.683694]","[175.014, 394.323, 0.713192]","[184.45, 383.739, 0.706998]"
"[192.634, 110.15, 0.909969]","[191.496, 153.768, 0.884756]","[162.042, 153.764, 0.819463]","[156.12, 200.952, 0.860388]","[154.953, 238.675, 0.855749]","[219.81, 152.622, 0.820014]","[222.228, 197.391, 0.822295]","[230.396, 237.488, 0.85605]","[192.632, 233.958, 0.70052]","[173.844, 233.962, 0.703202]","[175.06, 310.585, 0.791061]","[183.21, 381.309, 0.843113]","[210.357, 233.947, 0.684488]","[204.498, 308.266, 0.788238]","[202.102, 377.804, 0.802263]","[184.416, 106.616, 0.929645]","[197.407, 106.622, 0.870265]","[175.005, 112.519, 0.849638]","[204.484, 113.677, 0.801211]","[202.134, 395.513, 0.781383]","[210.387, 392.007, 0.809951]","[197.393, 382.533, 0.654919]","[184.425, 396.689, 0.680577]","[175.02, 394.322, 0.708367]","[184.446, 383.737, 0.705217]"
"[191.488, 110.153, 0.887469]","[189.152, 153.758, 0.849851]","[159.681, 153.764, 0.809456]","[155.014, 200.919, 0.838648]","[154.897, 237.52, 0.827771]","[218.612, 152.597, 0.800388]","[222.188, 198.577, 0.834389]","[229.25, 237.511, 0.840378]","[191.5, 233.986, 0.692752]","[173.796, 235.145, 0.693967]","[175.024, 309.426, 0.80729]","[183.219, 381.296, 0.844263]","[209.202, 233.973, 0.676556]","[204.484, 308.262, 0.79431]","[202.111, 377.799, 0.801286]","[183.291, 106.613, 0.924277]","[195.088, 106.609, 0.884652]","[173.864, 112.513, 0.84653]","[203.323, 112.523, 0.817203]","[202.117, 395.525, 0.778068]","[210.379, 392.023, 0.798701]","[197.411, 382.532, 0.637045]","[184.432, 397.831, 0.682144]","[175.027, 394.335, 0.706679]","[184.451, 383.729, 0.711356]"
"[191.499, 110.152, 0.891885]","[189.156, 153.757, 0.849173]","[159.682, 153.758, 0.807613]","[155.013, 200.923, 0.842432]","[154.896, 237.506, 0.826602]","[218.618, 152.602, 0.801096]","[222.191, 198.58, 0.833414]","[229.246, 237.499, 0.836439]","[191.508, 233.968, 0.697557]","[173.805, 233.985, 0.696608]","[175.027, 309.439, 0.806415]","[183.212, 381.303, 0.84516]","[209.207, 233.955, 0.682078]","[204.485, 308.259, 0.794748]","[202.112, 377.808, 0.804706]","[183.297, 106.612, 0.923787]","[195.099, 106.615, 0.881741]","[173.865, 112.517, 0.846698]","[203.332, 113.671, 0.805472]","[202.12, 395.519, 0.783487]","[210.38, 392.017, 0.80434]","[197.416, 382.534, 0.647667]","[184.429, 396.676, 0.674902]","[175.019, 394.317, 0.705185]","[184.453, 383.738, 0.706418]"
"[191.535, 110.156, 0.901677]","[190.336, 153.757, 0.861292]","[160.86, 153.754, 0.808463]","[156.105, 199.786, 0.837273]","[154.912, 237.472, 0.828868]","[218.652, 152.603, 0.807138]","[222.208, 196.214, 0.825556]","[230.359, 237.475, 0.845527]","[191.527, 233.969, 0.699153]","[173.825, 233.975, 0.702555]","[175.045, 309.441, 0.799989]","[183.218, 381.307, 0.846951]","[210.338, 233.959, 0.682972]","[204.486, 308.258, 0.794308]","[202.106, 377.797, 0.801715]","[184.397, 106.619, 0.928815]","[196.241, 106.623, 0.876575]","[174.97, 112.515, 0.85112]","[203.349, 112.525, 0.786798]","[202.117, 395.521, 0.774454]","[210.374, 392.016, 0.799891]","[197.41, 382.529, 0.638745]","[184.421, 397.839, 0.679522]","[175.013, 394.337, 0.704741]","[184.452, 383.742, 0.703712]"
"[191.512, 110.158, 0.893328]","[190.308, 153.758, 0.85253]","[160.836, 153.755, 0.806262]","[156.101, 199.784, 0.83572]","[154.908, 237.483, 0.828951]","[218.637, 152.606, 0.804788]","[222.187, 197.403, 0.842226]","[229.264, 237.503, 0.847367]","[191.523, 233.975, 0.699711]","[173.819, 235.124, 0.702359]","[175.028, 310.586, 0.805321]","[183.216, 381.305, 0.84591]","[210.336, 233.961, 0.683823]","[204.485, 308.256, 0.795231]","[202.11, 377.805, 0.804466]","[183.309, 106.616, 0.924028]","[196.218, 106.622, 0.881399]","[173.88, 112.511, 0.850009]","[203.333, 113.681, 0.805634]","[202.116, 396.66, 0.778264]","[210.376, 392.023, 0.7984]","[197.417, 382.534, 0.64015]","[184.419, 397.831, 0.679216]","[175.014, 394.333, 0.706366]","[184.455, 383.739, 0.701546]"
"[191.538, 110.155, 0.902594]","[191.47, 153.761, 0.871239]","[162.014, 153.751, 0.810188]","[156.114, 200.923, 0.850422]","[154.929, 237.504, 0.834359]","[219.78, 152.616, 0.812648]","[222.222, 195.089, 0.823675]","[230.367, 237.482, 0.845529]","[191.536, 233.963, 0.69768]","[173.833, 233.969, 0.700643]","[175.047, 310.59, 0.799164]","[183.22, 381.302, 0.844151]","[210.345, 233.949, 0.681211]","[204.496, 308.254, 0.792658]","[202.109, 377.798, 0.803493]","[184.403, 106.619, 0.930539]","[196.254, 106.624, 0.873204]","[174.984, 112.514, 0.851385]","[203.37, 112.535, 0.793296]","[202.133, 395.517, 0.777903]","[210.385, 392.009, 0.803249]","[197.415, 382.532, 0.64987]","[184.421, 397.835, 0.683464]","[175.019, 394.333, 0.708955]","[184.453, 383.732, 0.711157]"
"[191.52, 110.159, 0.895452]","[190.322, 153.758, 0.85668]","[160.847, 153.756, 0.807466]","[156.099, 200.91, 0.840443]","[154.908, 237.491, 0.829154]","[218.648, 152.605, 0.806349]","[222.2, 196.25, 0.832546]","[229.27, 237.497, 0.847306]","[191.523, 233.974, 0.698804]","[173.821, 233.984, 0.701027]","[175.041, 310.59, 0.799999]","[183.218, 381.305, 0.84667]","[209.218, 233.964, 0.678852]","[204.484, 308.255, 0.796153]","[202.11, 377.805, 0.803381]","[184.385, 106.619, 0.926343]","[196.23, 106.622, 0.878102]","[174.958, 112.509, 0.850577]","[203.348, 112.537, 0.79425]","[202.118, 395.524, 0.776904]","[210.376, 392.02, 0.801305]","[197.413, 382.535, 0.639662]","[184.413, 397.834, 0.680261]","[175.008, 394.332, 0.707631]","[184.452, 383.74, 0.705135]"
